id;spiegazione
1;This was a really deep movie that I thought was about how critical the role of fate is in our lives.
2;Another great message of this movie is what goes around comes around.
3;Jimmy knows the tragedy that occurs has something to do with something he did, and sure enough, it turns out it's true.
4;Sean Penn was intense, great supporting cast.
5;KB was great as always.
6;Great movie by Clint Eastwood, two thumbs up.
7;It absolutely stuns me that people liked it and gave it all those awards and missed out on the the wonderfullness of Lost in Translation and Bill Murray's oscar winning performance.
8;I even forgot myself and thought he was sexy for a few brief moments.
9;the characters Sean Penn, Tim Robbins and Kevin Bacon are excellent.
10;It is a real intellectual thriller.
11;the extras are good on this movie especially the commentary by Kevin Bacon and Tim Robbins.
12;They are pretty hilarious and that gives you a better understanding of the movie.
13;i would highly recommend this movie if you enjoy intellectual thrillers.
14;These three friends are played brilliantly by Sean Penn, Tim Robbins, and the underrated performance by Kevin Bacon.
15;These three actors reveal a side of humanity that is inside everyone.
16;Brilliantly directed by Clint Eastwood, Mystic River deals with the human emotions of grief and despair occuring from the loss of family and innocence.
17;the acting is tremendous, as you have no doubt read about from many major critics.
18;The saturated filming is downright vibrant in its murkiness, the same way as Se7en.
19;If you don't want to spend the extra ten bucks to have bonus material (though educational from almost every aspect), and the soundtrack then you should be happy with the single disc edition.
20;(check out A perfect World, Eastwood at his best.)
21;Mystic River is a good story, and it is what it is.
22;Mystic River is the type of movie I really wanted to like.
23;lawrence Fishburne has a nice screen presence, and does good because he's not given much to work with.
24;i also found this movie emotionless.
25;i also had to laugh at the people who said this film was thought.
26;This is not Eastwood's best film, but the acting is superb thanks to Sean Penn.
27;The performance that surprised me the most was Tim Robbins, he never stood out in his movies but this one he does and it's amazing.
28;This was a good one ended pretty strange though.
29;Mystic River is an amazing achievement in filmaking by director Clint Eastwood and its amazing cast.
30;Sean Penn gives an excellent performance, best of his career, as an ex.
31;The scene where he realizes his daughter is dead is amazing and heartwrenching.
32;Tim Robbins also gives a career best performance as a man trapped in a past he can't forget and his performance is the most haunting of the three main complex characters.
33;Kevin Bacon is a homicide detective and does a great job showing the pain his character feels over his wife leaving him and his inability to communicate and share his feelings make his charcter very interesting.
34;Bacon also delivers a career best performance.
35;Laura Linney and Marcia Gay Harden also have excellent performances as the wives of Penn and Robbins, and they both will be nominated at Oscar time.
36;Clint Eastwood does an amazing job as director, with the deliberately slow pace and dark settings.
37;this film will be one of the five films up for best picture at the end of the year and it should be.
38;It's a movie emotionally charged with situations that can be very dramatic, so the only way that this movie could have been well made, was counting with a good director and excellent performances.
39;thankfully Mystic River has an impressive cast that successfully contributed to create this complex movie.
40;Clint Eastwood managed to get an excellent performance from everybody in this movie.
41;From the big stars to the supporting cast, every actor in Mystic River did a terrific job.
42;without a doubt Sean Penn's performance in Mystic River is outstanding and he deserved every award that he got for his role of Jimmy Markum, a multi.
43;Tim Robbins is excellent in his portrayal of a very dark character, a man tormented by his personal demons, and his complex performance also granted him some nominations and awards.
44;This movie was a masterpiece of film.
45;The performances were better than first rate.
46;Tim Robbins was brilliant and Kevin Bacon as always made his character.
47;The mystery and the dynamic characters.
48;It's also a beautiful look into the mental process and how it can become damaged or skewed by some outside force.
49;It's tragic and saddening, but still so good.
50;As pointed out by so many others Mystic River is a powerful, emotional, well acted, well written film directed by Client Eastwood (Unforgiven, Play Misty For Me).
51;Without question this is one of the year's best films.
52;Of all the movies I've seen this year Penn delivers the best performance I've seen as actor give this year.
53;Unless something really amazing comes out in the next month Penn better win the Oscar.
54;Tim Robbins is right on target as well.
55;He delivers an Oscar caliber performance.
56;Other note worthy aspects of the film include the cinematography, the editing, and the adapted screenplay by Brian Helgeland based on Dennis Lehane's novel.
57;Mystic River tells the story of three young boys growing up in Boston.
