1;He sees the enemy approaching in the dark.
2;These soldiers enjoy their free time.
3;Barnes has the respect of the soldiers.
4;They see Elias on the ground, pursued by the enemy.
5;It is quiet in the morning.
6;Stone won an award for directing this film.
7;While some war films date themselves in a matter of years, Platoon is still a gritty, sad, and amazing piece of filming.
8;He is opposed by Sgt. Elias (Willem Dafoe, outstanding), the hippie anti.
9;In the middle is the entire platoon, taking sides, with a civil war brewing inside the unit.
10;A heartbreaking study in the madness of war, it stands with Apocalypse Now as the greatest anti.
11;war movies, and ranks with All Quiet on the Western Front as the most powerful anti.
12;Great captivating story taking one through a Taylor's development from first arrival (armed with a strong sense of duty from his father's/grandfather's military service) all the way through to the end of his tour in Vietnam.
13;nevertheless it is a verry good movie
14;Having seen this movie a long time ago, the replay shows the intense actions of all the actors.
15;The movie is a bit of Hollywood, but It does show some realism.
16;Combat movies always incorporate some of Hollywood, but Platoon is a great show.
17;Platoon is, in my opinion, the definitive movie about the Viet Nam War.
18;It is powerful, insightful, and unforgettable.
19;The movie captures and displays insights into the minds and wills of men who fought there.
20;There is friendship and animosity, support and deceit, hope and hopelessness.
21;Underlying it all, though, is a intense desire among the men to survive to return home.
22;the movie contains solid performances throughout.
23;I would recommended it to my friends.
24;Its a great movie but the disc skips and its brand new You can only watch the first five minutes and then it starts to skip
25;this is one of the best vietnam movies around ranking high with full metal jacket.
26;Cast of top name actors, love it!
27;Loads of action and great characters.
