1	32	1262
1	275	171
1	83	3605
1	212	1257
1	88	143
1	56	3069
1	217	1376
1	265	230
1	122	3241
1	287	1178
2	32	1349
2	35	248
2	84	2465
2	52	586
2	117	1550
2	134	3803
2	40	642
2	107	551
2	125	1286
2	31	2904
3	193	2631
3	84	342
3	117	342
3	261	65
3	6	3347
3	120	1779
3	40	750
3	217	2017
3	107	2152
3	157	790
4	100	914
4	118	301
4	166	2289
4	262	1502
4	231	239
4	103	839
4	107	1162
4	91	2405
4	31	427
4	111	1674
1,3	193	619,2631
1,3	114	81,1219
1,3	275	171,1424
1,3	117	306,342
1,3	6	2467,3347
1,3	118	375,1387
1,3	167	3399,98
1,3	104	63,3107
1,3	152	831,21
1,3	44	1044,1341
5	288	1215
5	98	792
5	228	113
5	148	1725
5	84	466
5	118	175
5	232	388
5	72	573
5	280	844
5	93	854
1,4	64	2196,454
1,4	98	1709,2530
1,4	20	3144,458
1,4	164	152,222
1,4	261	541,197
1,4	88	143,432
1,4	281	1263,829
1,4	10	1411,6919
1,4	159	2836,913
1,4	31	2957,427
2,3	228	2876,56
2,3	166	2209,1880
2,3	231	2226,2777
2,3	56	1194,1598
2,3	280	1249,226
2,3	91	3778,549
2,3	188	1614,526
2,3	206	1107,512
2,3	111	843,800
2,3	271	257,948
6	288	679
6	115	1586
6	100	2857
6	84	1447
6	118	271
6	134	3321
6	231	1535
6	107	760
6	93	1249
6	31	1637
1,5	1	9,2454
1,5	134	7012,6432
1,5	262	330,501
1,5	135	149,995
1,5	7	2047,2382
1,5	199	734,1405
1,5	266	2978,2330
1,5	91	1434,1240
1,5	43	309,3126
1,5	29	1450,720
2,4	161	1148,1947
2,4	65	562,135
2,4	83	6540,6132
2,4	36	203,706
2,4	118	1764,301
2,4	214	692,762
2,4	103	910,839
2,4	217	981,872
2,4	266	191,1511
2,4	270	388,947
7	274	88
7	114	613
7	83	7056
7	20	473
7	229	542
7	199	1384
7	152	859
7	10	5520
7	266	687
7	44	3632
1,6	98	1709,1357
1,6	83	3605,1661
1,6	52	1207,225
1,6	228	2689,2052
1,6	148	460,234
1,6	84	5426,1447
1,6	103	463,680
1,6	217	1376,1390
1,6	10	1411,462
1,6	206	348,1371
2,5	64	509,223
2,5	98	3162,792
2,5	115	1667,1476
2,5	51	1389,406
2,5	100	3436,2196
2,5	196	2764,2025
2,5	246	2590,875
2,5	281	2393,1252
2,5	10	1924,1222
2,5	219	2037,540
1,7	272	868,552
1,7	18	909,1844
1,7	149	551,1977
1,7	5	2409,478
1,7	135	149,1421
