FILM	HA	LA	CO	BA	FR	GM	BM
1     	9	2174	2114	1856	2454	853	2692	
2     	970	1654	1082	1186	21	1027	445	
3     	352	266	12	87	266	133	1	
4     	1980	873	942	2621	1679	1075	1989	
5     	2409	110	203	1114	1143	1397	478	
6     	2467	1854	3347	2773	416	17	351	
7     	2047	343	2202	1429	2382	1150	2317	
8     	552	128	611	537	215	553	245	
9     	142	1438	860	1326	1335	1027	1516	
10    	1411	1924	6780	6919	1222	462	5520	
11    	1616	1386	387	176	629	1082	931	
12    	152	448	52	822	113	822	139	
13    	341	227	221	407	73	475	115	
14    	720	436	133	1	714	515	580	
15    	2818	913	1901	568	433	531	1563	
16    	182	59	138	292	28	253	1	
17    	675	964	1272	530	1158	1302	1	
18    	909	1084	574	94	2222	2137	1844	
19    	1333	890	215	449	1002	496	985	
20    	3144	423	2097	458	1685	3626	473	
21    	340	603	890	701	581	695	940	
22    	562	414	250	449	273	708	906	
23    	669	381	844	128	307	58	730	
24    	1745	269	864	370	928	86	459	
25    	1214	1015	358	1945	246	1487	50	
26    	102	97	143	172	558	351	50	
27    	174	1352	174	433	2021	420	3124	
28    	78	702	650	1006	42	657	44	
29    	1450	260	489	683	720	1054	1673	
30    	1368	32	825	358	201	116	556	
31    	2957	2904	1957	427	1770	1637	361	
32    	1262	1349	1257	352	866	808	3164	
33    	426	1203	267	554	1264	1255	259	
34    	426	633	110	971	193	4	1008	
35    	738	248	738	2974	1104	482	2569	
36    	2304	203	574	706	2456	613	1619	
37    	908	1122	294	1188	214	101	769	
38    	476	337	268	220	1226	503	829	
39    	545	15	384	251	580	705	628	
40    	404	642	750	596	631	380	662	
41    	1016	358	124	1633	1993	1432	1837	
42    	575	797	649	469	93	728	777	
43    	309	3367	257	3049	3126	1233	651	
44    	1044	117	1341	1129	1100	104	3632	
45    	225	34	290	855	1078	327	131	
46    	617	94	166	165	473	47	193	
47    	1	960	545	1068	23	859	25	
48    	248	1099	684	775	64	1189	471	
49    	144	70	144	78	136	118	253	
50    	27	742	294	726	229	451	775	
51    	1430	1389	599	799	406	410	1	
52    	1207	586	6	1634	877	225	964	
53    	1121	569	375	929	952	495	1121	
54    	9	177	206	1	1	26	153	
55    	631	106	174	903	1699	1328	1030	
56    	3069	1194	1598	1397	5907	3968	5029	
57    	194	30	17	134	493	276	491	
58    	1006	1466	315	879	33	847	713	
59    	712	686	727	261	431	247	542	
60    	55	296	160	408	408	269	152	
61    	351	244	552	695	51	720	95	
62    	949	177	949	345	89	1741	2386	
63    	244	959	1732	414	613	72	1069	
64    	2196	509	1693	454	223	1796	44	
65    	752	562	510	135	538	1161	202	
66    	565	189	349	465	475	261	368	
67    	434	457	169	228	450	70	18	
68    	193	555	222	38	575	222	420	
69    	711	162	118	167	416	716	16	
70    	309	79	426	901	836	798	721	
71    	342	14	1721	1049	2188	1417	997	
72    	991	1790	1230	1617	573	561	1232	
73    	1	1	1	1	46	1	1	
74    	491	329	315	449	234	248	75	
75    	351	827	996	165	988	1030	373	
76    	1359	1280	1428	438	34	1458	1625	
77    	118	116	118	99	112	16	1	
78    	320	842	730	199	705	808	133	
79    	1391	291	2556	341	1580	2208	1624	
80    	2336	456	429	2297	1621	469	1138	
81    	1226	593	959	4	235	1347	409	
82    	194	911	435	822	472	544	580	
83    	3605	6540	415	6132	582	1661	7056	
84    	5426	2465	342	1407	466	1447	4429	
85    	1269	284	490	137	831	1153	703	
86    	208	312	309	72	49	109	1	
87    	141	184	255	81	808	322	371	
88    	143	1639	887	432	2570	1750	1569	
89    	174	208	369	510	227	103	1	
90    	766	67	519	295	793	837	313	
91    	1434	3778	549	2405	1240	462	1920	
92    	525	892	256	917	39	56	1	
93    	1	454	634	522	854	1249	793	
94    	89	188	1	115	188	130	209	
95    	1888	2574	1495	287	490	661	2466	
96    	690	220	436	713	315	847	573	
97    	524	21	562	561	17	282	235	
98    	1709	3162	497	2530	792	1357	3618	
99    	931	1382	1420	1305	1305	390	766	
100   	2605	3436	2493	914	2196	2857	1668	
101   	134	333	1	1	9	121	184	
102   	386	186	339	235	98	235	180	
103   	463	910	91	839	1886	680	576	
104   	63	104	3107	795	2568	1135	167	
105   	1173	36	1275	1080	90	1229	1013	
106   	334	786	1279	968	680	852	1	
107   	868	551	2152	1162	1094	760	588	
108   	459	407	426	296	630	670	874	
109   	175	362	581	645	486	585	216	
110   	606	506	129	28	668	687	3	
111   	196	843	800	1674	1488	926	581	
112   	203	216	8	309	80	111	303	
113   	317	670	611	539	285	611	331	
114   	81	2440	1219	1884	5284	3843	613	
115   	2235	1667	1474	2188	1476	1586	1354	
116   	739	1194	931	660	25	805	511	
117   	306	1550	342	3350	2053	376	60	
118   	375	1764	1387	301	175	271	1035	
119   	379	481	93	541	418	694	158	
120   	1253	410	1779	834	842	1721	198	
121   	845	736	845	736	553	736	901	
122   	3241	2238	3478	681	2973	1482	2001	
123   	154	626	476	325	9	291	1	
124   	191	2	195	195	181	194	169	
125   	332	1286	1703	1251	1530	1768	1764	
126   	6	354	33	121	81	53	1	
127   	1054	1235	1054	307	7	352	867	
128   	417	117	335	379	501	190	1	
129   	817	1007	808	165	231	906	292	
130   	267	342	238	493	299	221	35	
131   	351	299	308	1	299	159	149	
132   	214	290	285	35	343	300	108	
133   	128	176	265	24	367	71	343	
134   	7012	3803	2770	1160	6432	3321	2562	
135   	149	244	285	1738	995	232	1421	
136   	371	69	371	316	57	119	132	
137   	972	292	793	473	502	1379	864	
138   	439	616	311	561	1862	1330	374	
139   	1	292	230	14	1	294	1	
140   	80	87	481	136	333	491	444	
141   	405	279	405	608	354	87	142	
142   	749	602	160	467	324	39	1	
143   	226	309	41	439	313	491	221	
144   	190	379	100	1	136	396	1	
145   	90	1	183	109	460	463	141	
146   	286	84	46	88	411	700	1	
147   	663	1	294	12	576	634	466	
148   	460	1043	1351	297	1725	234	539	
149   	551	1770	1941	693	793	958	1977	
150   	404	467	650	346	53	211	150	
151   	230	929	708	881	1073	823	919	
152   	831	1897	21	1424	1738	1425	859	
153   	1282	247	1121	683	317	5	484	
154   	782	597	76	764	352	850	299	
155   	837	81	556	176	493	533	483	
156   	1005	639	883	1005	1129	1142	1177	
157   	1219	969	790	2188	1509	2335	22	
158   	285	463	309	579	283	862	1060	
159   	2836	2294	2966	913	2913	1543	1791	
160   	699	274	120	142	412	122	541	
161   	37	1148	1931	1947	280	1900	173	
162   	1162	999	1535	552	1117	964	276	
163   	136	81	80	1	110	142	584	
164   	152	349	18	222	251	207	207	
165   	2233	2197	488	116	459	324	1721	
166   	1403	2209	1880	2289	1010	658	494	
167   	3399	2080	98	1290	2354	436	1282	
168   	471	293	443	61	375	238	404	
169   	261	242	269	337	272	418	72	
170   	4	93	4	164	149	135	168	
171   	1909	39	37	1984	1001	1121	405	
172   	457	48	718	1536	1168	337	1491	
173   	85	302	16	90	239	223	231	
174   	426	437	317	243	60	441	186	
175   	152	140	61	40	140	27	1	
176   	44	792	470	893	247	893	731	
177   	456	104	456	341	314	49	1	
178   	360	395	341	162	360	458	441	
179   	409	744	62	221	860	110	563	
180   	508	487	583	344	538	98	286	
181   	934	1158	468	311	1045	825	572	
182   	25	257	713	760	272	159	733	
183   	123	51	1778	958	522	1483	910	
184   	59	251	1	18	232	18	342	
185   	1047	1581	686	1383	2020	1612	494	
186   	1430	1879	1389	1567	60	1027	579	
187   	377	1	109	110	181	110	99	
188   	592	1614	526	1357	1284	638	2429	
189   	1126	203	483	244	803	939	1223	
190   	464	830	988	861	471	1039	1259	
191   	147	233	1	130	126	130	24	
192   	270	592	269	497	1259	284	860	
193   	619	2725	2631	4727	2082	1529	3347	
194   	144	1484	808	129	413	1481	153	
195   	1081	687	1120	684	159	426	1029	
196   	2423	2764	3224	741	2025	1444	3034	
197   	6	814	602	274	482	289	526	
198   	417	203	12	1173	1152	132	739	
199   	734	1456	2379	1493	1405	31	1384	
200   	570	41	653	1	64	697	95	
201   	342	96	86	200	56	24	271	
202   	527	160	273	193	36	459	149	
203   	593	706	861	128	102	68	285	
204   	1	1	8	1	81	12	1	
205   	569	28	569	292	980	633	54	
206   	348	1107	512	830	1607	1371	609	
207   	503	692	265	265	92	328	55	
208   	147	211	858	93	682	751	347	
209   	1	1	1	100	30	104	151	
210   	46	488	304	348	1168	152	199	
211   	242	98	93	1	98	211	1	
212   	1257	786	910	1411	636	264	759	
213   	772	1770	823	184	768	392	21	
214   	938	692	1155	762	153	965	534	
215   	3	339	305	4	1	274	171	
216   	22	1843	716	570	589	2056	348	
217   	1376	981	2017	872	4851	1390	775	
218   	20	291	709	311	58	763	306	
219   	1231	2037	2050	1118	540	1857	1098	
220   	43	599	78	185	673	324	37	
221   	1	795	1190	26	808	837	249	
222   	183	393	795	482	188	467	675	
223   	487	1838	1358	1074	1206	146	2089	
224   	187	96	1	48	12	1	206	
225   	191	81	85	559	383	85	463	
226   	116	7	361	6	226	171	489	
227   	199	273	106	4	211	64	303	
228   	2689	2876	56	3178	113	2052	224	
229   	915	2089	1419	2596	1152	65	542	
230   	1	46	127	137	25	76	1	
231   	1211	2226	2777	239	2	1535	1258	
232   	86	448	246	176	388	176	1	
233   	1	40	91	39	40	40	1	
234   	1	79	75	6	76	132	1	
235   	1	54	91	20	54	95	46	
236   	41	1494	1766	1927	1724	1262	1543	
237   	1	105	343	614	575	380	146	
238   	199	19	333	173	14	99	1	
239   	978	147	684	632	240	818	948	
