L            	HA	LA	CO	BA	FR	GM	BM
able cry     	4,349	0,000	0,000	0,000	0,000	0,000	0,000	
admire be    	0,000	0,000	0,000	0,000	0,000	2,438	0,000	
adult kid    	0,000	0,000	0,000	2,215	0,000	0,000	0,000	
amazing animation	0,000	0,000	0,000	5,205	0,000	0,000	0,000	
animated feature	0,000	0,000	0,000	2,732	0,000	0,000	0,000	
animated film	0,000	0,000	0,000	2,444	0,000	0,000	0,000	
animation movie	0,000	0,000	0,000	3,103	0,000	0,000	0,000	
attention detail	6,172	0,000	0,000	0,000	0,000	0,000	0,000	
awkward scene	0,000	0,000	0,000	0,000	0,000	6,177	0,000	
bad day      	0,000	0,000	0,000	0,000	0,000	0,000	3,550	
bad mood     	0,000	0,000	0,000	0,000	0,000	0,000	11,662	
bad person   	0,000	0,000	0,000	0,000	0,000	0,000	4,118	
be absorb    	6,621	0,000	0,000	0,000	0,000	0,000	0,000	
be admire    	0,000	0,000	0,000	0,000	4,791	0,000	0,000	
be adorable  	0,000	0,000	0,000	8,443	0,000	8,443	0,000	
be adventure 	0,000	0,000	0,000	7,820	0,000	0,000	0,000	
be adventurous	0,000	0,000	0,000	3,386	0,000	0,000	0,000	
be advise    	0,000	0,000	0,000	0,000	10,969	0,000	0,000	
be affection 	0,000	0,000	0,000	0,000	5,628	0,000	0,000	
be ambitious 	4,400	0,000	0,000	0,000	0,000	0,000	0,000	
be angry     	0,000	0,000	0,000	0,000	0,000	0,000	10,409	
be animated  	0,000	0,000	0,000	9,104	0,000	0,000	0,000	
be animation 	0,000	0,000	0,000	3,194	0,000	0,000	0,000	
be appreciate	0,000	0,000	0,000	0,000	0,000	6,720	0,000	
be argue     	0,000	0,000	0,000	0,000	0,000	0,000	3,319	
be assist    	0,000	0,000	0,000	0,000	5,242	0,000	0,000	
be attract   	0,000	0,000	3,112	0,000	0,000	0,000	0,000	
be baby      	0,000	0,000	0,000	4,935	0,000	0,000	0,000	
be bad       	0,000	0,000	0,000	0,000	0,000	0,000	2,459	
be beauty    	0,000	0,000	4,242	0,000	0,000	0,000	0,000	
be bitter    	0,000	0,000	0,000	0,000	0,000	0,000	3,550	
be bloody    	0,000	0,000	0,000	0,000	0,000	0,000	4,705	
be break     	0,000	0,000	0,000	0,000	0,000	0,000	2,974	
be brilliant 	0,000	0,000	0,000	0,000	0,000	1,768	0,000	
be brother   	0,000	0,000	0,000	0,000	4,599	0,000	0,000	
be calm      	0,000	8,377	0,000	0,000	0,000	0,000	0,000	
be captivate 	4,207	0,000	4,207	0,000	0,000	0,000	0,000	
be capture   	11,136	0,000	0,000	0,000	0,000	0,000	0,000	
be care      	0,000	0,000	0,000	0,000	9,790	0,000	0,000	
be careful   	8,261	0,000	0,000	0,000	0,000	0,000	0,000	
be cartoon   	0,000	0,000	0,000	5,627	0,000	6,431	0,000	
be celebrate 	0,000	0,000	0,000	0,000	0,000	5,002	0,000	
be child     	0,000	0,000	0,000	9,030	0,000	0,000	0,000	
be childhood 	0,000	0,000	0,000	4,807	0,000	3,205	0,000	
be chill     	0,000	4,130	0,000	0,000	0,000	0,000	0,000	
be clear     	0,000	4,193	0,000	0,000	0,000	0,000	0,000	
be cold      	0,000	0,000	0,000	0,000	0,000	0,000	8,336	
be comedian  	0,000	0,000	0,000	0,000	0,000	3,752	0,000	
be comedy    	0,000	0,000	0,000	0,000	0,000	3,895	0,000	
be comic     	0,000	2,468	0,000	0,000	0,000	6,786	0,000	
be company   	0,000	0,000	0,000	0,000	9,042	0,000	0,000	
