FILM         	HA	LA	CO	BA	FR	GM	BM
Pulp Fiction 	0,3315	0,3585	0,3264	0,1862	0,3415	0,4187	0,3355	
Lawrence of Arabia	0,3063	0,2270	0,2309	0,2171	0,1997	0,2681	0,1788	
Modern Times 	0,1070	0,1832	0,2305	0,1287	0,2093	0,3644	0,0000	
Goodfellas   	0,2032	0,3185	0,2796	0,1865	0,2781	0,3156	0,3391	
Apocalypse Now	0,2759	0,3581	0,2635	0,2112	0,3027	0,3157	0,3555	
Casablanca   	0,3002	0,3919	0,5931	0,2293	0,2918	0,4207	0,2988	
The Shawshank Redemption	0,3026	0,3762	0,2913	0,2562	0,3659	0,4492	0,2905	
Rashomon     	0,2237	0,3368	0,1674	0,1452	0,1249	0,2378	0,1352	
The Third Man	0,2691	0,3004	0,2902	0,1233	0,2762	0,3153	0,1709	
The Dark Knight	0,3409	0,3677	0,3322	0,2646	0,3304	0,4616	0,4431	
Chinatown    	0,3077	0,2279	0,2340	0,1501	0,1931	0,3042	0,1344	
Double Indemnity	0,1708	0,2522	0,2682	0,0698	0,2411	0,1976	0,1492	
Ikiru        	0,2351	0,3447	0,2520	0,1317	0,1200	0,2141	0,2003	
Raging Bull  	0,2109	0,2909	0,2017	0,1305	0,1957	0,1983	0,3160	
North by Northwest	0,3259	0,3646	0,3655	0,2333	0,3010	0,3881	0,2096	
Tokyo Story  	0,2333	0,3256	0,2142	0,1625	0,2144	0,2724	0,0683	
All About Eve	0,1543	0,2075	0,2176	0,1863	0,2896	0,2829	0,1177	
The Silence of the Lambs	0,2781	0,2891	0,2864	0,2154	0,2348	0,2721	0,4002	
Toy Story    	0,1629	0,3265	0,3131	0,3042	0,2972	0,4394	0,0705	
Saving Private Ryan	0,3439	0,3363	0,2818	0,2570	0,2836	0,3317	0,4074	
Back to the Future	0,1601	0,2943	0,1813	0,2057	0,3452	0,3467	0,1310	
Annie Hall   	0,1160	0,2574	0,3321	0,1417	0,2851	0,3904	0,0000	
It Happened One Night	0,1205	0,2943	0,4103	0,1335	0,3170	0,3689	0,0888	
Aliens       	0,2295	0,3357	0,2466	0,2395	0,2649	0,3464	0,2374	
Amadeus      	0,2558	0,2801	0,3235	0,1906	0,2664	0,3458	0,2631	
La Dolce Vita	0,1612	0,1376	0,2319	0,1660	0,1519	0,2815	0,1345	
The Shining  	0,2685	0,3598	0,2822	0,2352	0,2636	0,3654	0,2690	
The Best Years of Our Lives	0,1664	0,2004	0,2942	0,2415	0,2183	0,3118	0,2761	
Fargo        	0,3122	0,3589	0,2406	0,1641	0,3504	0,4287	0,3667	
Reservoir Dogs	0,2576	0,3255	0,2363	0,1489	0,2820	0,3382	0,3368	
My Neighbor Totoro	0,3157	0,5091	0,3585	0,4059	0,3193	0,5694	0,1968	
Memento      	0,4026	0,4256	0,3675	0,1287	0,3504	0,3320	0,3296	
The Pianist  	0,2737	0,2848	0,2570	0,1692	0,1991	0,2197	0,3130	
Cool Hand Luke	0,2551	0,2672	0,1707	0,1833	0,2076	0,3027	0,1433	
Jaws         	0,2249	0,4199	0,2695	0,2422	0,2874	0,3519	0,2039	
To Kill a Mockingbird	0,2278	0,3801	0,2590	0,3263	0,3380	0,4114	0,2394	
Once Upon a Time in America	0,2739	0,2426	0,2721	0,2165	0,2779	0,2748	0,1555	
Barry Lyndon 	0,2874	0,2721	0,2741	0,1421	0,2099	0,2871	0,1751	
The Grapes of Wrath	0,2792	0,2593	0,1958	0,1734	0,2712	0,1866	0,1290	
Before Sunset	0,2046	0,4137	0,4925	0,2597	0,2200	0,3607	0,1404	
The Usual Suspects	0,3164	0,2831	0,2490	0,1807	0,2898	0,3779	0,2115	
Strangers on a Train	0,2416	0,2310	0,2400	0,0963	0,1526	0,2311	0,2009	
The Departed 	0,3377	0,3517	0,3253	0,2165	0,3144	0,3372	0,3038	
Fight Club   	0,3586	0,3270	0,3449	0,1960	0,3553	0,4363	0,4398	
Full Metal Jacket	0,2353	0,2521	0,2220	0,1942	0,2762	0,3687	0,3323	
Dog Day Afternoon	0,1081	0,2430	0,2152	0,1787	0,1965	0,2660	0,2631	
This Is Spinal Tap	0,1833	0,3058	0,1109	0,1406	0,3642	0,4773	0,0994	
Die Hard     	0,1999	0,3492	0,1978	0,1816	0,2304	0,3414	0,2804	
Duck Soup    	0,2225	0,2125	0,1610	0,1140	0,2252	0,3337	0,1677	
Trainspotting	0,2087	0,2510	0,1888	0,1268	0,3165	0,3106	0,2794	
Young Frankenstein	0,2202	0,3113	0,2087	0,1841	0,3910	0,5028	0,1852	
Forrest Gump 	0,2663	0,4082	0,3853	0,2516	0,3777	0,4966	0,2592	
The Graduate 	0,1624	0,3038	0,3484	0,1700	0,3011	0,3434	0,1105	
Incendies    	0,1718	0,0847	0,1146	0,0961	0,0000	0,1325	0,1881	
The Terminator	0,2162	0,3754	0,3215	0,2510	0,2826	0,3200	0,2977	
The Matrix   	0,3674	0,3758	0,4101	0,2957	0,2771	0,3976	0,3163	
Talk to Her  	0,2911	0,3085	0,3451	0,1292	0,2394	0,2335	0,1067	
Good Will Hunting	0,2134	0,2867	0,3315	0,2039	0,3909	0,3083	0,2215	
Frankenstein 	0,1835	0,2691	0,2189	0,1843	0,2387	0,2935	0,1765	
Infernal Affairs	0,1388	0,3143	0,1834	0,0430	0,1180	0,1923	0,1284	
Toy Story 2  	0,1609	0,3232	0,3886	0,2506	0,3125	0,4341	0,1452	
Jurassic Park	0,2394	0,3634	0,2587	0,2563	0,2842	0,3992	0,2169	
American History X	0,2885	0,3080	0,2085	0,2500	0,2047	0,1880	0,3696	
The Iron Giant	0,2792	0,3326	0,3213	0,3319	0,3664	0,4663	0,2367	
Stand by Me  	0,2409	0,3318	0,3160	0,3105	0,3793	0,3686	0,1738	
Rope         	0,2494	0,2932	0,2435	0,1612	0,1857	0,2478	0,2471	
Brief Encounter	0,1402	0,2406	0,3809	0,0975	0,1358	0,2129	0,1398	
In the Heat of the Night	0,1962	0,1455	0,1333	0,0957	0,0978	0,2013	0,0959	
Midnight Cowboy	0,1597	0,2609	0,2496	0,1694	0,2659	0,2935	0,2154	
Sling Blade  	0,2200	0,4054	0,2591	0,1927	0,2350	0,3325	0,2311	
The Exorcist 	0,2647	0,3742	0,2624	0,2399	0,2408	0,2981	0,2702	
Shaun of the Dead	0,1876	0,3564	0,3706	0,1673	0,4478	0,4983	0,2389	
Scarface     	0,0000	0,0000	0,0000	0,0441	0,1000	0,1502	0,0000	
The Return   	0,2211	0,3513	0,2424	0,0926	0,1132	0,1620	0,1532	
Platoon      	0,1592	0,1340	0,1909	0,1803	0,2879	0,1485	0,3346	
Being John Malkovich	0,2510	0,3072	0,2989	0,1521	0,3500	0,4357	0,2250	
Underground  	0,1222	0,1250	0,0972	0,0776	0,1814	0,1947	0,0000	
The African Queen	0,2019	0,3216	0,3908	0,1886	0,2438	0,4342	0,1811	
Almost Famous	0,2488	0,3286	0,3834	0,2783	0,3487	0,4738	0,2512	
Magnolia     	0,3288	0,3070	0,3517	0,1597	0,2977	0,3252	0,2859	
Gandhi       	0,2375	0,2646	0,2417	0,2043	0,3491	0,2958	0,1535	
Goldfinger   	0,1341	0,2925	0,2376	0,1885	0,1974	0,2860	0,2058	
Batman Begins	0,3654	0,3713	0,3238	0,2719	0,3825	0,4739	0,4543	
Lost in Translation	0,3580	0,4539	0,4727	0,2289	0,4130	0,5445	0,3361	
Hotel Rwanda 	0,2514	0,3132	0,2682	0,1876	0,1764	0,2442	0,2764	
A Night at the Opera	0,0000	0,2134	0,2508	0,0884	0,2304	0,3311	0,0000	
Spartacus    	0,1496	0,2671	0,2657	0,2278	0,1697	0,2657	0,2005	
The Prestige 	0,3875	0,3686	0,3451	0,3202	0,2691	0,3401	0,3310	
The Shop Around the Corner	0,1157	0,2999	0,4076	0,1640	0,2624	0,3251	0,1429	
Who Framed Roger Rabbit	0,1744	0,2716	0,2569	0,2338	0,2694	0,3608	0,1359	
The Incredibles	0,2968	0,3868	0,3547	0,3386	0,3964	0,4839	0,2631	
Dazed and Confused	0,1238	0,3061	0,2842	0,2187	0,3792	0,3850	0,0000	
Blazing Saddles	0,1967	0,3195	0,1994	0,1780	0,4149	0,5286	0,2171	
Day for Night	0,1813	0,1561	0,1237	0,1207	0,1218	0,2068	0,0745	
The Green Mile	0,2992	0,3634	0,3326	0,2253	0,3211	0,3968	0,3560	
Dial M for Murder	0,2360	0,2766	0,1682	0,1283	0,2023	0,2676	0,2220	
Dirty Harry  	0,1503	0,2979	0,1438	0,1214	0,1404	0,2589	0,1037	
Iron Man     	0,3397	0,4050	0,2815	0,2568	0,4192	0,4733	0,3239	
Casino       	0,2670	0,2706	0,3583	0,1508	0,2607	0,2773	0,2275	
A Christmas Story	0,1963	0,3788	0,2964	0,3342	0,3759	0,5770	0,1204	
Serpico      	0,1280	0,2189	0,2460	0,1178	0,1892	0,2038	0,1515	
Barton Fink  	0,2309	0,2298	0,1968	0,0945	0,1931	0,2949	0,1892	
Mary Poppins 	0,2938	0,3667	0,3018	0,3853	0,3506	0,4960	0,1751	
The Sixth Sense	0,3557	0,3410	0,3587	0,2417	0,2685	0,3031	0,3428	
My Fair Lady 	0,2141	0,2778	0,3491	0,2741	0,2546	0,4282	0,1091	
Ed Wood      	0,1501	0,2701	0,2860	0,1877	0,3240	0,4256	0,1392	
The Sound of Music	0,2915	0,4122	0,4826	0,3625	0,3057	0,5707	0,1812	
Enter the Dragon	0,1355	0,3182	0,1040	0,1208	0,2021	0,3170	0,2841	
Rain Man     	0,2265	0,2575	0,2470	0,1691	0,2370	0,3135	0,1422	
The Birds    	0,2655	0,3269	0,2785	0,2081	0,2322	0,2993	0,1753	
Edward Scissorhands	0,2363	0,3411	0,4219	0,3981	0,2525	0,4018	0,2630	
Peeping Tom  	0,0440	0,1793	0,2322	0,1164	0,0758	0,1979	0,1785	
Eraserhead   	0,1918	0,2490	0,1373	0,1934	0,1945	0,2742	0,3077	
Gladiator    	0,3588	0,3765	0,3408	0,2460	0,3143	0,4062	0,4105	
Little Miss Sunshine	0,2646	0,3413	0,3297	0,2240	0,3799	0,5263	0,2619	
True Romance 	0,1597	0,2794	0,4415	0,1855	0,3019	0,3888	0,2428	
Brokeback Mountain	0,3294	0,4903	0,6624	0,2072	0,3378	0,4358	0,3224	
Shrek        	0,2709	0,3842	0,4282	0,4734	0,4494	0,5512	0,2194	
The Piano    	0,2508	0,2055	0,3286	0,1663	0,1785	0,3315	0,1767	
Doctor Zhivago	0,2904	0,2853	0,5248	0,2223	0,2218	0,3498	0,1920	
Malcolm X    	0,1588	0,2188	0,1789	0,1481	0,2477	0,2428	0,1584	
Donnie Darko 	0,3618	0,3270	0,3835	0,2404	0,3032	0,3902	0,3817	
Paper Moon   	0,1651	0,2304	0,2206	0,1695	0,2777	0,3925	0,0388	
Nine Queens  	0,2115	0,1262	0,2440	0,0210	0,1193	0,1903	0,0000	
Run Lola Run 	0,2827	0,4410	0,3682	0,2137	0,2428	0,3387	0,1258	
Quiz Show    	0,1598	0,1198	0,2329	0,0266	0,0903	0,1441	0,0000	
West Side Story	0,2543	0,1782	0,4042	0,2592	0,3098	0,3355	0,2090	
American Graffiti	0,1899	0,3089	0,1591	0,2385	0,3837	0,3761	0,0373	
Kung Fu Hustle	0,2146	0,3386	0,2582	0,1788	0,3317	0,4154	0,2751	
Porco Rosso  	0,1539	0,3234	0,2171	0,1726	0,2170	0,3020	0,0904	
Midnight Express	0,1523	0,1586	0,1180	0,0861	0,1900	0,1206	0,1319	
Midnight Run 	0,0919	0,2044	0,1041	0,1250	0,2920	0,3473	0,1023	
The Umbrellas of Cherbourg	0,1537	0,2772	0,3773	0,2128	0,1147	0,2836	0,2297	
Serenity     	0,2803	0,4287	0,4157	0,2864	0,3825	0,5250	0,3341	
Mystic River 	0,3515	0,2961	0,2807	0,2287	0,3202	0,3376	0,3515	
After Hours  	0,1606	0,2291	0,2167	0,1199	0,1779	0,2928	0,1303	
Apollo 13    	0,2033	0,2315	0,2092	0,2033	0,1931	0,2903	0,1933	
Dances with Wolves	0,2300	0,2361	0,3302	0,2041	0,2198	0,3631	0,2374	
From Here to Eternity	0,0000	0,1202	0,2834	0,1282	0,2753	0,2435	0,0776	
American Splendor	0,1924	0,2324	0,2171	0,1328	0,2594	0,2978	0,0720	
Easy Rider   	0,2417	0,3264	0,1571	0,2017	0,2144	0,2612	0,0962	
Animal House 	0,0699	0,3054	0,0593	0,1342	0,3119	0,4605	0,1213	
East of Eden 	0,1784	0,1350	0,2221	0,1064	0,0774	0,2039	0,1524	
Dead Man Walking	0,1550	0,2040	0,2769	0,1042	0,1062	0,2207	0,0685	
Kagemusha    	0,2291	0,0723	0,1266	0,1572	0,0879	0,1736	0,1174	
The Motorcycle Diaries	0,1826	0,2625	0,2417	0,2403	0,3137	0,3438	0,0893	
Leaving Las Vegas	0,1298	0,1805	0,3647	0,1347	0,1242	0,2854	0,1962	
Sideways     	0,2454	0,3406	0,3363	0,1690	0,4233	0,5016	0,2300	
The Thin Red Line	0,3190	0,3758	0,3308	0,1904	0,2222	0,2934	0,3603	
Tootsie      	0,1588	0,2741	0,2646	0,1475	0,3342	0,3567	0,1169	
From Russia with Love	0,1994	0,3150	0,1963	0,1384	0,2850	0,3187	0,2889	
Capote       	0,3092	0,2402	0,3912	0,2460	0,3271	0,2266	0,4469	
Kiss Kiss Bang Bang	0,2270	0,3149	0,2844	0,1409	0,3685	0,4724	0,2018	
The Color Purple	0,1780	0,1829	0,2606	0,1774	0,2307	0,3926	0,1910	
Misery       	0,1641	0,2857	0,1950	0,0897	0,2234	0,3026	0,3069	
Bullitt      	0,2469	0,2565	0,1855	0,1858	0,2437	0,2871	0,1912	
Walk the Line	0,2650	0,2949	0,5142	0,2514	0,3668	0,3597	0,2171	
Empire of the Sun	0,3053	0,2282	0,2910	0,2552	0,2368	0,3176	0,1442	
V for Vendetta	0,3451	0,3382	0,3510	0,2555	0,3132	0,3737	0,3631	
In America   	0,1743	0,2104	0,2575	0,2699	0,2315	0,3505	0,2020	
Forbidden Planet	0,2118	0,3590	0,3227	0,3145	0,3196	0,3803	0,1901	
The Hours    	0,3114	0,2931	0,3101	0,1507	0,2997	0,3131	0,2747	
Donnie Brasco	0,2074	0,1482	0,1797	0,0672	0,1692	0,2476	0,0613	
The City of Lost Children	0,2849	0,2882	0,2832	0,3091	0,1715	0,2717	0,2006	
Minority Report	0,2769	0,2766	0,2873	0,2636	0,2285	0,3586	0,2785	
Big Fish     	0,2239	0,3574	0,3879	0,3597	0,3170	0,4579	0,2125	
Spider-Man 2 	0,3021	0,3144	0,4531	0,2533	0,3538	0,4364	0,3255	
The Squid and the Whale	0,1824	0,2642	0,2582	0,1728	0,2301	0,2779	0,2828	
Five Easy Pieces	0,2407	0,1776	0,2092	0,1093	0,2220	0,2480	0,1458	
Forbidden Games	0,1616	0,1659	0,1652	0,2317	0,1144	0,0716	0,0570	
Cinderella Man	0,2223	0,2929	0,3010	0,2458	0,3271	0,3526	0,3063	
To Catch a Thief	0,2633	0,3619	0,3300	0,2053	0,3117	0,4058	0,1792	
Bad Education	0,1962	0,2277	0,2232	0,1799	0,1508	0,2482	0,1062	
Half Nelson  	0,1725	0,1605	0,1666	0,1666	0,1625	0,1658	0,0549	
Pierrot le Fou	0,1353	0,1835	0,1949	0,1320	0,1054	0,2452	0,0000	
A Man for All Seasons	0,3348	0,2806	0,1779	0,1540	0,2353	0,2173	0,0310	
Marty        	0,1346	0,2892	0,2974	0,1285	0,2242	0,3381	0,1274	
Walkabout    	0,1615	0,2631	0,1827	0,2152	0,0955	0,2173	0,1409	
Brick        	0,2323	0,2751	0,2937	0,1938	0,2570	0,2782	0,1248	
Billy Elliot 	0,2411	0,3526	0,2549	0,2341	0,2987	0,4465	0,2108	
Jackie Brown 	0,2037	0,2896	0,3293	0,1782	0,2609	0,3647	0,1994	
25th Hour    	0,2015	0,2726	0,2368	0,1350	0,3041	0,2216	0,1171	
Road to Perdition	0,2600	0,3151	0,2089	0,2019	0,2199	0,2709	0,2613	
High Plains Drifter	0,1262	0,1473	0,0557	0,0465	0,0692	0,1891	0,1086	
Fiddler on the Roof	0,2482	0,3188	0,3788	0,2818	0,3135	0,4270	0,2256	
Ray          	0,2560	0,1930	0,3195	0,2302	0,2437	0,2844	0,2087	
The Day of the Jackal	0,2737	0,2938	0,1996	0,0852	0,2039	0,1775	0,1510	
Cast Away    	0,2165	0,3592	0,3826	0,1908	0,3020	0,3832	0,2361	
The Crow     	0,2097	0,3040	0,3963	0,1648	0,2864	0,3618	0,3881	
As Good as It Gets	0,1775	0,2915	0,3300	0,1387	0,3530	0,4246	0,1143	
The Tenant   	0,1232	0,1296	0,0000	0,0638	0,2157	0,1931	0,2009	
Pi           	0,2350	0,2878	0,2711	0,2454	0,2031	0,2352	0,2817	
Titanic      	0,3510	0,3574	0,6453	0,2419	0,2988	0,4377	0,3377	
The Aviator  	0,2791	0,3143	0,3091	0,2162	0,2254	0,2922	0,2208	
Collateral   	0,2714	0,3110	0,2289	0,1884	0,2288	0,3246	0,3160	
Chicago      	0,2083	0,3452	0,3039	0,2773	0,3593	0,4180	0,2721	
Hoosiers     	0,1705	0,1937	0,2286	0,1997	0,2327	0,4161	0,1231	
Mulan        	0,1687	0,2762	0,2927	0,3063	0,3066	0,4729	0,1852	
Sin City     	0,2740	0,3107	0,3402	0,2384	0,3922	0,4193	0,4323	
Tombstone    	0,2338	0,2275	0,2526	0,1065	0,2852	0,2914	0,1758	
Videodrome   	0,1289	0,0905	0,1352	0,1564	0,1165	0,1757	0,1610	
Mildred Pierce	0,1492	0,1401	0,1717	0,1121	0,1954	0,2790	0,1418	
Inside Man   	0,2581	0,3231	0,2881	0,1182	0,2375	0,2725	0,1050	
Bloody Sunday	0,0967	0,0000	0,1263	0,0000	0,0350	0,0949	0,0460	
Predator     	0,2300	0,3478	0,1955	0,2157	0,2330	0,3775	0,2096	
Garden State 	0,2782	0,3592	0,3991	0,2311	0,3470	0,4709	0,1735	
In the Bedroom	0,2704	0,1499	0,2451	0,1229	0,1475	0,2057	0,2350	
21 Grams     	0,2952	0,2559	0,2480	0,1541	0,1673	0,2115	0,3341	
Drugstore Cowboy	0,0638	0,1122	0,0712	0,1165	0,0986	0,1257	0,0381	
Far from Heaven	0,3167	0,2640	0,3192	0,1474	0,3211	0,3173	0,2033	
Angels with Dirty Faces	0,0402	0,0703	0,0976	0,1825	0,1733	0,1701	0,1280	
Elizabeth    	0,3596	0,2653	0,3494	0,1825	0,2460	0,3090	0,2580	
Dark City    	0,2596	0,2720	0,2687	0,2466	0,2061	0,2860	0,3363	
Dumbo        	0,1813	0,3531	0,3181	0,2956	0,2782	0,3966	0,2091	
Gilda        	0,0905	0,1462	0,3029	0,1089	0,1443	0,2828	0,1607	
