1	32	2326,2601,1295
1	80	531,1795,1174
1	84	4025,1494,2644
1	88	2384,143,1309
1	122	1390,1231,3052
1	152	57,1031,1162
1	162	1585,1555,1424
1	194	1780,517,979
1	265	1300,872,1226
1	275	2857,2929,1957
2	7	294,1864,494
2	13	153,199,136
2	31	1955,103,1881
2	52	734,320,674
2	70	506,304,288
2	84	379,5601,2465
2	95	74,1955,2310
2	114	4266,138,1332
2	117	2,907,2560
2	184	322,387,4
3	6	2048,3698,1498
3	40	808,906,932
3	67	448,340,357
3	84	3679,2653,4924
3	116	1313,753,615
3	117	396,547,5138
3	193	2367,4655,1966
3	206	897,555,770
3	210	536,1066,1177
3	280	1313,690,224
4	31	2254,2255,2748
4	64	2168,416,1784
4	88	432,736,130
4	90	138,453,196
4	91	400,2071,2821
4	100	3012,3237,81
4	103	3175,169,1291
4	118	2119,1265,1958
4	166	1316,2435,881
4	262	1552,1199,264
5	7	937,2363,3251
5	32	1524,625,1737
5	65	9,777,632
5	71	2323,2688,347
5	84	417,1251,5564
5	117	5149,1153,2843
5	152	359,1918,1025
5	157	1326,2980,2897
5	174	288,24,359
5	277	927,544,893
6	47	1010,111,515
6	51	454,1054,1291
6	72	490,359,1808
6	93	1127,284,1464
6	100	1318,896,961
6	115	504,232,1705
6	118	1488,931,298
6	153	956,1401,671
6	244	6,601,301
6	288	248,528,697
7	4	2910,2542,2556
7	14	612,318,176
7	43	2063,2448,1953
7	44	1254,2116,1030
7	83	2729,6175,1779
7	114	1927,4065,3075
7	199	3214,1186,1178
7	245	806,501,912
7	266	4225,58,3819
7	267	163,1355,1376
1,3	7	1978,2372,422
1,3	20	1404,1797,2367
1,3	120	507,650,163
1,3	135	1216,1827,1296
1,3	149	98,356,517
1,3	157	2242,1625,2491
1,3	188	1683,1785,1500
1,3	208	553,311,301
1,3	217	4271,2659,2410
1,3	273	862,1095,451
1,4	10	91,5655,4449
1,4	36	1740,1136,1179
1,4	83	3605,6957,4682
1,4	107	3023,2026,4308
1,4	111	383,550,54
1,4	164	743,9,221
1,4	196	1542,54,426
1,4	214	938,1159,667
1,4	228	418,858,4224
1,4	281	642,2506,1448
1,5	9	531,1006,444
1,5	18	126,1266,2110
1,5	44	850,1112,2538
1,5	58	689,1444,754
1,5	63	1337,1148,1479
1,5	81	709,488,873
1,5	85	42,1273,1306
1,5	146	477,720,132
1,5	210	9,30,462
1,5	287	430,1725,1584
1,6	27	3398,2345,251
1,6	79	2267,704,2775
1,6	83	3605,5441,6696
1,6	84	3227,435,3601
1,6	91	2506,2270,899
1,6	98	1232,3634,3676
1,6	106	1269,1173,379
1,6	134	1700,436,1912
1,6	148	1796,573,906
1,6	283	954,2017,2034
1,7	10	3496,1339,2520
1,7	14	1190,263,667
1,7	20	1382,2357,3440
1,7	33	1012,259,1387
1,7	117	5112,4155,286
1,7	159	1340,533,1209
1,7	229	1199,1096,514
1,7	261	1524,160,1631
1,7	270	1796,944,1006
1,7	279	2656,1040,1393
2,3	80	541,1396,1043
2,3	89	179,596,187
2,3	104	2171,2196,1120
2,3	125	1646,1206,107
2,3	148	1866,2294,1154
2,3	162	1300,861,1318
2,3	167	3082,1296,3456
2,3	217	4399,1751,1962
2,3	270	1040,1079,388
2,3	275	798,51,2784
2,4	56	2546,5073,3464
2,4	88	336,432,50
2,4	98	1707,1703,3673
2,4	111	968,1370,1059
2,4	115	1356,698,1667
2,4	118	1886,680,2119
2,4	228	300,418,328
2,4	231	2489,2490,1936
2,4	284	2231,1207,2576
