FILM	HA	LA	CO	BA	FR	GM	BM
1     	341	2873	1072	3012	178	1141	2509	
2     	301	1449	1537	357	377	610	445	
3     	277	202	462	339	308	267	214	
4     	450	2369	2356	1937	3126	1117	2910	
5     	449	110	526	1057	859	2397	1990	
6     	3105	3024	2048	342	3086	3774	2762	
7     	2047	294	1665	230	937	1836	2366	
8     	598	128	213	537	219	99	144	
9     	531	173	911	1583	1006	1308	344	
10    	7098	401	2207	4052	3897	1540	3496	
11    	1616	202	880	1157	418	540	595	
12    	152	787	766	599	390	462	767	
13    	191	153	336	338	640	23	357	
14    	1106	394	649	227	793	511	612	
15    	1062	913	1040	537	348	2571	2219	
16    	19	361	326	223	155	380	109	
17    	217	593	515	633	563	688	28	
18    	180	1084	574	985	126	1905	1844	
19    	1333	1271	278	645	478	1237	1312	
20    	1739	1971	387	2566	2269	2194	1382	
21    	529	546	948	865	129	630	741	
22    	822	482	234	356	24	399	653	
23    	669	517	187	561	42	365	236	
24    	1271	4	93	837	2404	1368	1562	
25    	1141	1015	1101	1945	1412	1291	1129	
26    	94	510	572	25	349	231	48	
27    	2960	1705	1210	2614	2733	3398	1504	
28    	14	702	498	791	532	1087	44	
29    	1020	341	58	682	723	867	131	
30    	1952	151	1504	731	1266	1656	1402	
31    	67	1955	606	2254	2780	1637	577	
32    	2326	2438	960	2589	1524	1321	86	
33    	985	898	176	133	537	1389	259	
34    	735	633	643	804	455	566	807	
35    	1486	2547	594	128	2465	945	611	
36    	1740	178	2311	1136	1789	1499	1893	
37    	1017	186	158	1301	1105	60	769	
38    	1050	725	434	180	1104	397	707	
39    	643	213	384	636	594	2	345	
40    	603	488	808	307	890	1245	782	
41    	1316	152	1362	147	1655	516	892	
42    	86	474	153	682	593	285	205	
43    	2053	3367	770	997	3126	3503	2063	
44    	850	388	1677	1781	589	3089	1254	
45    	177	33	1039	1277	1167	1258	928	
46    	631	259	271	99	2	123	511	
47    	346	929	782	742	885	1010	367	
48    	856	357	680	993	523	823	903	
49    	345	384	337	78	122	215	264	
50    	549	520	323	67	140	685	238	
51    	314	1211	17	1358	1704	454	1717	
52    	851	734	2412	2196	1307	1536	2590	
53    	455	581	640	686	221	594	972	
54    	223	117	125	103	149	102	228	
55    	1398	789	1409	903	1844	1328	1388	
56    	1785	2546	1960	1397	329	1442	321	
57    	555	30	310	35	494	131	165	
58    	913	46	443	879	1444	281	1169	
59    	712	672	49	247	484	475	210	
60    	309	83	311	148	330	372	242	
61    	1183	244	1154	851	840	404	95	
62    	1459	1765	835	610	605	222	1216	
63    	1337	345	259	1017	221	936	1188	
64    	2070	1335	308	2168	1316	387	489	
65    	284	389	1005	821	9	50	965	
66    	421	574	405	776	464	135	614	
67    	180	291	448	54	64	381	476	
68    	65	272	240	600	570	405	110	
69    	337	650	174	255	558	745	302	
70    	694	506	566	547	543	671	695	
71    	339	17	845	551	2323	1340	223	
72    	1914	1615	827	431	1788	490	515	
73    	94	2	65	29	19	103	101	
74    	451	329	50	118	244	285	30	
75    	808	408	760	664	283	130	702	
76    	1069	579	1418	838	1347	1439	1044	
77    	146	23	95	55	59	86	25	
78    	141	993	602	199	521	786	411	
79    	809	2266	1416	718	2546	704	232	
80    	531	1043	541	1580	2097	706	445	
81    	601	1583	667	1039	709	1149	287	
82    	194	212	1031	295	1153	912	781	
83    	3605	4414	4758	1892	1783	2834	2729	
84    	4025	379	3679	2032	417	3601	1277	
85    	1306	763	270	695	1273	971	1457	
86    	152	71	52	212	237	264	313	
87    	187	364	106	317	936	214	371	
88    	2384	336	292	432	2465	1624	1379	
89    	180	7	108	213	409	342	98	
90    	770	384	608	138	567	422	1056	
91    	661	3877	857	400	2989	2270	3924	
92    	236	414	721	917	941	529	928	
93    	348	454	466	1597	957	1127	130	
94    	150	164	55	194	134	82	48	
95    	910	74	1502	426	281	719	134	
96    	267	504	812	288	144	331	80	
97    	524	467	162	174	77	432	35	
98    	3676	1703	3507	796	1373	1232	2539	
99    	240	1025	403	195	769	945	766	
100   	451	3542	244	3012	1822	1318	1550	
101   	482	333	480	271	373	121	231	
102   	530	373	182	284	301	385	53	
103   	2515	910	1252	3175	934	742	200	
104   	2268	2171	2196	2045	1349	109	1585	
105   	428	36	328	1080	942	1550	1562	
106   	429	1427	1279	264	480	1269	169	
107   	1770	3660	3761	2026	688	962	2700	
108   	916	579	183	4	284	494	11	
109   	158	756	197	409	46	122	322	
110   	1267	506	1140	200	339	1092	1157	
111   	485	968	413	1674	847	155	940	
112   	300	124	101	133	104	28	295	
113   	757	915	217	36	263	338	626	
114   	3441	4266	4457	467	3386	1170	1927	
115   	2047	698	1693	2215	1484	504	1768	
116   	739	1194	1313	1334	763	669	412	
117   	1790	2	396	2346	5149	412	3790	
118   	123	1886	3035	2119	802	1488	1135	
119   	718	746	624	283	361	221	141	
120   	1657	980	672	835	1122	18	114	
121   	731	152	535	597	329	6	596	
122   	1390	3645	2138	3818	1776	3580	2358	
123   	33	437	174	212	153	116	241	
124   	41	69	7	159	36	194	15	
125   	209	107	443	1251	658	1768	334	
126   	163	354	196	121	211	150	130	
127   	126	811	1619	307	514	1118	1500	
