L              	HA	LA	CO	BA	FR	GM	BM
selfish        	0.000	0.000	0.000	0.000	0.000	0.000	9.059	
study          	0.000	0.000	0.000	1.605	0.000	0.000	0.000	
advance        	1.556	0.000	0.000	0.000	0.000	0.000	0.000	
emotion        	2.686	0.000	8.237	0.000	0.000	0.000	2.686	
lie            	0.000	0.000	0.000	0.000	0.000	0.000	3.061	
grace          	0.000	0.000	0.000	0.000	0.000	4.107	0.000	
toy            	0.000	0.000	0.000	3.531	0.000	0.000	0.000	
joyful         	0.000	0.000	0.000	0.000	0.000	5.033	0.000	
relationship   	0.000	0.000	4.605	0.000	0.000	0.000	0.000	
personality    	0.000	0.000	0.000	0.000	1.663	0.000	0.000	
silence        	0.000	1.791	0.000	0.000	0.000	0.000	0.000	
learn          	5.198	0.000	0.000	3.308	0.000	0.000	0.000	
passionate     	0.000	0.000	2.457	0.000	0.000	0.000	0.000	
boyfriend      	0.000	0.000	7.171	0.000	0.000	0.000	0.000	
deplorable     	0.000	0.000	0.000	0.000	0.000	0.000	3.813	
reliance       	0.000	0.000	0.000	0.000	8.674	0.000	0.000	
lonesome       	0.000	0.000	0.000	0.000	0.000	0.000	3.656	
enrage         	0.000	0.000	0.000	0.000	0.000	0.000	3.887	
frantic        	0.000	0.000	0.000	0.000	0.000	0.000	2.404	
action         	0.000	0.000	0.000	0.000	0.960	0.000	0.000	
concentrate    	6.504	0.000	0.000	0.000	0.000	0.000	0.000	
curious        	0.000	0.000	0.000	2.602	0.000	0.000	0.000	
witch          	0.000	0.000	0.000	2.729	0.000	0.000	0.000	
educate        	1.681	0.000	0.000	0.000	0.000	0.000	0.000	
touch          	0.000	0.000	5.521	0.000	1.781	0.000	0.000	
capture        	9.120	0.000	0.000	0.000	0.000	0.000	0.000	
couch          	0.000	4.539	0.000	0.000	0.000	0.000	0.000	
victim         	0.000	0.000	0.000	0.000	0.000	0.000	2.550	
resentment     	0.000	0.000	0.000	0.000	0.000	0.000	8.617	
lovely         	0.000	0.000	1.624	1.624	0.000	10.391	0.000	
upset          	0.000	0.000	0.000	0.000	0.000	0.000	1.641	
charming       	0.000	0.000	2.119	2.119	0.000	0.000	0.000	
confidant      	0.000	0.000	0.000	0.000	3.550	0.000	0.000	
loveable       	0.000	0.000	0.000	2.948	0.000	0.000	0.000	
culture        	1.520	0.000	0.000	0.000	0.000	0.000	0.000	
intricate      	10.965	0.000	0.000	0.000	0.000	0.000	0.000	
soothing       	0.000	7.338	0.000	0.000	0.000	0.000	0.000	
ambitious      	9.004	0.000	0.000	0.000	0.000	0.000	0.000	
relax          	0.000	12.286	0.000	0.000	0.000	6.079	0.000	
attractive     	0.000	0.000	2.506	0.000	0.000	0.000	0.000	
aggression     	0.000	0.000	0.000	0.000	0.000	0.000	4.895	
brother        	0.000	0.000	0.000	0.000	6.296	0.000	0.000	
ease           	0.000	1.964	0.000	0.000	0.000	0.000	0.000	
tale           	0.000	0.000	0.000	3.712	0.000	0.000	0.000	
irk            	0.000	0.000	0.000	0.000	0.000	0.000	3.701	
progress       	1.933	0.000	0.000	0.000	0.000	0.000	0.000	
guilty         	0.000	0.000	0.000	0.000	0.000	0.000	7.105	
adrenaline     	0.000	0.000	0.000	0.000	0.000	0.000	4.741	
pleasant       	0.000	9.736	0.000	0.000	0.000	2.434	0.000	
rely           	0.000	0.000	2.501	0.000	10.254	0.000	0.000	
empathize      	2.170	0.000	0.000	0.000	0.000	0.000	0.000	
profound       	7.886	0.000	7.086	0.000	0.000	0.000	0.000	
son            	0.000	0.000	0.000	1.341	0.000	0.000	0.000	
education      	1.763	0.000	0.000	2.204	0.000	0.000	0.000	
generous       	0.000	0.000	0.000	0.000	10.517	0.000	0.000	
laugh          	0.000	0.000	0.000	0.000	0.996	9.628	0.000	
magic          	0.000	0.000	0.000	10.695	0.000	0.000	0.000	
bedtime        	0.000	7.338	0.000	0.000	0.000	0.000	0.000	
play           	0.000	0.000	0.000	2.735	0.000	0.000	0.000	
strength       	0.000	0.000	0.000	0.000	0.000	0.000	6.267	
gossip         	0.000	0.000	0.000	0.000	2.373	0.000	0.000	
company        	0.000	0.000	0.000	0.000	10.494	0.000	0.000	
sarcastic      	4.212	0.000	0.000	0.000	0.000	0.000	0.000	
memory         	1.203	0.000	0.000	0.000	0.000	0.000	0.000	
impressive     	1.426	0.000	0.000	0.000	0.000	0.000	0.000	
marriage       	0.000	0.000	7.365	0.000	0.000	0.000	0.000	
unpredictable  	5.137	0.000	0.000	0.000	0.000	0.000	0.000	
bloody         	0.000	0.000	0.000	0.000	0.000	0.000	2.518	
idea           	1.380	0.000	0.000	0.000	0.000	0.000	0.000	
comic          	0.000	3.206	0.000	0.000	1.202	3.367	0.000	
bad            	0.000	0.000	0.000	0.000	0.000	0.000	1.982	
funny          	0.000	2.510	0.000	3.586	1.936	5.307	0.000	
complexity     	2.530	0.000	0.000	0.000	0.000	0.000	0.000	
engaging       	9.204	0.000	0.000	0.000	0.000	0.000	0.000	
fiction        	0.000	2.779	0.000	1.853	1.853	0.000	0.000	
soft           	0.000	11.281	0.000	0.000	0.000	0.000	0.000	
hostility      	0.000	0.000	0.000	0.000	0.000	0.000	5.205	
smooth         	0.000	7.232	0.000	0.000	0.000	0.000	0.000	
enigmatic      	9.490	0.000	0.000	0.000	0.000	0.000	0.000	
blood          	0.000	0.000	0.000	0.000	0.000	0.000	5.899	
snack          	0.000	0.000	0.000	2.526	0.000	0.000	0.000	
ferocious      	0.000	0.000	0.000	0.000	0.000	0.000	3.227	
sweet          	0.000	0.000	2.026	3.546	0.000	10.537	0.000	
kiss           	0.000	0.000	7.421	1.855	0.000	0.000	0.000	
raw            	0.000	0.000	0.000	0.000	0.000	0.000	1.406	
sad            	0.000	0.000	0.000	0.000	0.000	0.000	1.257	
understanding  	0.000	0.000	0.000	0.000	2.320	0.000	0.000	
solidarity     	0.000	0.000	0.000	0.000	3.582	0.000	0.000	
support        	0.000	0.000	0.000	0.000	1.708	2.989	0.000	
fairytale      	0.000	0.000	0.000	2.179	0.000	0.000	0.000	
darling        	0.000	0.000	3.088	0.000	0.000	0.000	0.000	
brilliant      	0.000	0.000	0.000	0.000	0.000	2.271	0.000	
fabulous       	0.000	0.000	0.000	0.000	0.000	4.971	0.000	
adjust         	2.996	0.000	0.000	0.000	0.000	0.000	0.000	
death          	0.000	0.000	0.000	0.000	0.000	0.000	1.537	
direct         	0.000	4.220	0.000	0.000	0.000	0.000	0.000	
kind           	0.000	0.000	0.000	0.000	0.000	3.555	0.000	
twist          	1.268	0.000	0.000	0.000	0.000	0.000	0.000	
witty          	0.000	0.000	0.000	0.000	0.000	5.174	0.000	
hilarious      	0.000	4.559	0.000	1.824	1.824	7.750	0.000	
inform         	2.099	0.000	0.000	0.000	0.000	0.000	0.000	
admire         	0.000	0.000	0.000	0.000	7.964	3.117	0.000	
content        	0.000	0.000	0.000	0.000	0.000	2.295	0.000	
pregnancy      	0.000	0.000	0.000	3.447	0.000	0.000	0.000	
charity        	0.000	0.000	0.000	0.000	0.000	2.130	0.000	
girlfriend     	0.000	0.000	7.592	0.000	0.000	0.000	0.000	
rude           	0.000	0.000	0.000	0.000	0.000	0.000	7.522	
unique         	0.000	0.000	0.000	0.000	1.350	0.000	0.000	
truth          	0.000	0.000	0.000	0.000	2.022	0.000	0.000	
bliss          	0.000	0.000	0.000	0.000	0.000	2.373	0.000	
entertainment  	0.000	0.000	0.000	1.918	0.000	0.000	0.000	
bed            	0.000	7.669	0.000	0.000	0.000	0.000	0.000	
meaningful     	1.866	0.000	0.000	0.000	0.000	0.000	0.000	
mom            	0.000	0.000	0.000	5.619	0.000	0.000	0.000	
love           	0.000	0.000	0.719	0.719	0.000	1.678	0.000	
melodramatic   	0.000	0.000	2.963	0.000	0.000	0.000	0.000	
adore          	0.000	0.000	3.922	0.000	0.000	0.000	0.000	
mutual         	0.000	0.000	0.000	0.000	5.085	0.000	0.000	
fear           	0.000	0.000	0.000	0.000	0.000	0.000	7.203	
giggle         	0.000	0.000	0.000	5.295	0.000	0.000	0.000	
count          	0.000	0.000	0.000	0.000	4.171	0.000	0.000	
angry          	0.000	0.000	0.000	0.000	0.000	0.000	12.379	
understand     	5.091	0.000	0.000	0.000	5.359	0.000	0.000	
miserable      	0.000	0.000	0.000	0.000	0.000	0.000	3.368	
terrible       	0.000	0.000	0.000	0.000	0.000	0.000	2.705	
creative       	0.000	0.000	0.000	1.517	0.000	0.000	0.000	
stay           	0.000	1.945	0.000	0.000	0.000	0.000	0.000	
delightful     	0.000	0.000	0.000	2.207	0.000	0.000	0.000	
argue          	0.000	0.000	0.000	0.000	0.000	0.000	8.889	
childish       	0.000	0.000	0.000	0.000	0.000	0.000	3.020	
focus          	10.171	0.000	0.000	0.000	0.000	0.000	0.000	
hero           	0.000	0.000	0.000	2.663	0.000	0.000	0.000	
passion        	0.000	0.000	8.169	0.000	0.000	0.000	0.000	
absorb         	9.766	0.000	0.000	0.000	0.000	0.000	0.000	
honest         	0.000	0.000	0.000	0.000	1.258	0.000	0.000	
shoulder       	0.000	0.000	0.000	0.000	2.003	0.000	0.000	
punish         	0.000	0.000	0.000	0.000	0.000	0.000	7.618	
dad            	0.000	0.000	0.000	2.925	0.000	0.000	0.000	
cold           	0.000	0.000	0.000	0.000	0.000	0.000	1.873	
break          	0.000	0.000	0.000	0.000	0.000	0.000	2.069	
school         	0.000	0.000	0.000	5.718	0.000	0.000	0.000	
confide        	0.000	0.000	0.000	0.000	10.118	0.000	0.000	
space          	0.000	0.000	0.000	2.187	0.000	0.000	0.000	
imagination    	0.000	0.000	0.000	8.783	0.000	0.000	0.000	
engage         	7.672	0.000	0.000	0.000	0.000	0.000	0.000	
madness        	0.000	0.000	0.000	0.000	0.000	0.000	2.543	
elaborate      	2.729	0.000	0.000	0.000	0.000	0.000	0.000	
child          	0.000	0.000	0.000	2.429	0.000	0.000	0.000	
sexy           	0.000	0.000	6.842	0.000	0.000	0.000	0.000	
shocking       	0.000	0.000	0.000	0.000	0.000	0.000	2.376	
peaceful       	0.000	10.335	0.000	0.000	0.000	0.000	0.000	
curiosity      	0.000	0.000	0.000	4.686	0.000	0.000	0.000	
patience       	0.000	0.000	0.000	0.000	5.454	0.000	0.000	
dreamlike      	0.000	0.000	0.000	2.289	0.000	0.000	0.000	
flirt          	0.000	0.000	3.290	0.000	0.000	0.000	0.000	
pleasure       	0.000	0.000	0.000	0.000	0.000	9.351	0.000	
realize        	1.463	0.000	0.000	0.000	0.000	0.000	0.000	
hard           	1.105	0.000	0.000	0.000	0.000	0.000	0.000	
educational    	2.740	2.740	0.000	0.000	0.000	0.000	0.000	
unpretentious  	0.000	8.617	0.000	0.000	0.000	0.000	0.000	
soul           	4.243	0.000	0.000	0.000	0.000	0.000	0.000	
desire         	0.000	0.000	8.072	0.000	0.000	0.000	0.000	
comical        	0.000	0.000	0.000	0.000	2.639	0.000	0.000	
overcome       	0.000	0.000	0.000	0.000	3.203	0.000	0.000	
girl           	0.000	0.000	0.000	1.335	0.000	0.000	0.000	
lust           	0.000	0.000	2.893	0.000	0.000	0.000	0.000	
decrease       	0.000	5.831	0.000	0.000	0.000	0.000	0.000	
