FILM                    	HA	LA	CO	BA	FR	GM	BM
Pulp Fiction            	0.2804	0.3448	0.3014	0.2632	0.2641	0.4683	0.3567	
Lawrence of Arabia      	0.3505	0.2410	0.2858	0.2569	0.2687	0.3064	0.2409	
Modern Times            	0.1724	0.2329	0.2489	0.2532	0.1734	0.4557	0.1524	
Goodfellas              	0.2887	0.3429	0.2686	0.2630	0.2634	0.3995	0.4079	
Apocalypse Now          	0.3065	0.3399	0.3013	0.2160	0.3010	0.3349	0.3225	
Casablanca              	0.3167	0.3165	0.4732	0.2437	0.3218	0.3664	0.2792	
The Shawshank Redemption	0.3268	0.3980	0.4082	0.2707	0.4800	0.3794	0.3108	
Rashomon                	0.3117	0.3178	0.2656	0.2100	0.2393	0.2556	0.2334	
The Third Man           	0.3376	0.3087	0.2949	0.2266	0.3235	0.3541	0.2469	
The Dark Knight         	0.3541	0.3647	0.3166	0.3195	0.2790	0.4544	0.3797	
Chinatown               	0.3411	0.2794	0.2847	0.2072	0.2401	0.3369	0.2308	
Double Indemnity        	0.2193	0.3080	0.3199	0.1853	0.2757	0.2777	0.1894	
Ikiru                   	0.3054	0.4547	0.3101	0.2148	0.2404	0.2931	0.2533	
Raging Bull             	0.2778	0.2643	0.3190	0.1888	0.3058	0.2567	0.5449	
North by Northwest      	0.2970	0.3102	0.3684	0.2481	0.2403	0.4350	0.2437	
Tokyo Story             	0.2880	0.3626	0.3289	0.1996	0.2145	0.3032	0.1587	
All About Eve           	0.2611	0.2667	0.2731	0.2515	0.3361	0.3843	0.2334	
The Silence of the Lambs	0.3242	0.2501	0.3183	0.2099	0.3399	0.3198	0.2995	
Toy Story               	0.2313	0.2277	0.1750	0.4017	0.2182	0.4004	0.1321	
Saving Private Ryan     	0.3391	0.3738	0.3738	0.2379	0.3228	0.3457	0.3814	
Back to the Future      	0.1933	0.2445	0.1775	0.2866	0.2283	0.4503	0.1590	
Annie Hall              	0.2220	0.2728	0.4138	0.2370	0.2269	0.4620	0.1712	
It Happened One Night   	0.1898	0.2640	0.4173	0.2480	0.1884	0.4040	0.1490	
Aliens                  	0.2667	0.3084	0.2607	0.2542	0.2314	0.3964	0.2837	
Amadeus                 	0.3016	0.2966	0.2934	0.2484	0.2625	0.3931	0.2759	
La Dolce Vita           	0.2981	0.2014	0.2953	0.2622	0.2386	0.3996	0.2073	
The Shining             	0.3140	0.3324	0.3002	0.2810	0.2858	0.4455	0.2811	
The Best Years of Our Lives	0.2890	0.2531	0.3911	0.2218	0.2953	0.3158	0.2654	
Fargo                   	0.2770	0.3420	0.2896	0.2488	0.3077	0.4789	0.3115	
Reservoir Dogs          	0.2798	0.3328	0.2266	0.2287	0.2481	0.3876	0.3706	
My Neighbor Totoro      	0.2657	0.4008	0.2794	0.5449	0.3000	0.4898	0.2324	
Memento                 	0.4134	0.3538	0.3166	0.2134	0.3851	0.3670	0.3085	
The Pianist             	0.3371	0.3105	0.3755	0.2465	0.3071	0.2983	0.3220	
Cool Hand Luke          	0.2603	0.2799	0.2255	0.2159	0.2330	0.3572	0.2078	
Jaws                    	0.2568	0.3299	0.2788	0.2771	0.2796	0.4236	0.2915	
To Kill a Mockingbird   	0.3446	0.3699	0.2718	0.3414	0.3318	0.3612	0.2592	
Once Upon a Time in America	0.3125	0.2674	0.2729	0.2777	0.3147	0.3016	0.2792	
Barry Lyndon            	0.3419	0.2700	0.3196	0.2488	0.2297	0.3611	0.2328	
The Grapes of Wrath     	0.2745	0.2970	0.2092	0.2558	0.2892	0.2736	0.2506	
Before Sunset           	0.2990	0.3289	0.5152	0.2323	0.2726	0.3592	0.1953	
The Usual Suspects      	0.3058	0.3161	0.2011	0.2261	0.2487	0.4250	0.2555	
Strangers on a Train    	0.2507	0.2690	0.2747	0.1882	0.1877	0.2908	0.1921	
The Departed            	0.3411	0.3562	0.2945	0.2246	0.2925	0.4148	0.4123	
Fight Club              	0.3609	0.3393	0.3400	0.2601	0.3065	0.4673	0.4763	
Full Metal Jacket       	0.2941	0.2657	0.2645	0.2119	0.2614	0.4081	0.3294	
Dog Day Afternoon       	0.2179	0.2067	0.3177	0.2113	0.1888	0.3283	0.2201	
This Is Spinal Tap      	0.2277	0.3098	0.2024	0.2797	0.2354	0.6099	0.1224	
Die Hard                	0.2084	0.2393	0.2928	0.2440	0.1690	0.3979	0.2392	
Duck Soup               	0.2103	0.2823	0.1801	0.2002	0.2173	0.3752	0.1789	
Trainspotting           	0.2395	0.2385	0.2504	0.2519	0.2666	0.4090	0.2053	
Young Frankenstein      	0.2204	0.3339	0.2264	0.2973	0.2429	0.6086	0.2007	
Forrest Gump            	0.3093	0.4353	0.3559	0.3036	0.3137	0.4344	0.2248	
The Graduate            	0.2899	0.2722	0.3177	0.2477	0.2094	0.4056	0.1946	
Incendies               	0.1908	0.1259	0.1930	0.1622	0.1821	0.1710	0.2078	
The Terminator          	0.2304	0.3131	0.3110	0.2372	0.2391	0.3635	0.2888	
The Matrix              	0.3220	0.3400	0.3093	0.3169	0.2886	0.4148	0.3116	
Talk to Her             	0.3270	0.2912	0.3550	0.1781	0.2574	0.2636	0.1568	
Good Will Hunting       	0.3054	0.2663	0.3710	0.2361	0.3451	0.3431	0.2885	
Frankenstein            	0.2639	0.2316	0.2565	0.2106	0.2124	0.3362	0.2572	
Infernal Affairs        	0.2416	0.2754	0.2799	0.1368	0.2000	0.2444	0.1417	
Toy Story 2             	0.2174	0.2449	0.1926	0.3840	0.2069	0.4593	0.1356	
Jurassic Park           	0.2505	0.2926	0.2422	0.3050	0.2514	0.4403	0.2075	
American History X      	0.3058	0.2963	0.3132	0.2839	0.3550	0.2761	0.3689	
The Iron Giant          	0.2980	0.2973	0.2735	0.4628	0.2875	0.4259	0.2179	
Stand by Me             	0.2609	0.2606	0.2984	0.3309	0.3577	0.4159	0.1974	
Rope                    	0.2632	0.2466	0.2862	0.2132	0.2787	0.2816	0.2359	
Brief Encounter         	0.2220	0.2331	0.4502	0.1724	0.2050	0.3028	0.2008	
In the Heat of the Night	0.2991	0.1819	0.2449	0.1573	0.2438	0.2903	0.1571	
Midnight Cowboy         	0.2716	0.2383	0.2829	0.2481	0.2945	0.3218	0.2028	
Sling Blade             	0.2891	0.3988	0.3346	0.2160	0.3228	0.3594	0.2314	
The Exorcist            	0.2644	0.3257	0.2686	0.2621	0.3847	0.3759	0.2836	
Shaun of the Dead       	0.2251	0.3244	0.2983	0.2733	0.2554	0.5766	0.2324	
Scarface                	0.0939	0.0376	0.1022	0.1440	0.2090	0.1782	0.2196	
The Return              	0.3104	0.2694	0.3081	0.2057	0.2453	0.2123	0.2433	
Platoon                 	0.2540	0.2640	0.2898	0.1982	0.2740	0.2482	0.3289	
Being John Malkovich    	0.2651	0.2948	0.3576	0.2814	0.2303	0.4735	0.2410	
Underground             	0.2317	0.1613	0.2452	0.2264	0.1710	0.2680	0.1432	
The African Queen       	0.2222	0.2538	0.3377	0.2564	0.2345	0.3725	0.1937	
Almost Famous           	0.3340	0.3150	0.3517	0.3185	0.3032	0.4657	0.2154	
Magnolia                	0.3786	0.2939	0.4025	0.2275	0.3004	0.3678	0.2804	
Gandhi                  	0.3575	0.3715	0.2890	0.2266	0.3399	0.3582	0.3444	
Goldfinger              	0.2178	0.3093	0.2362	0.2413	0.2279	0.3965	0.2040	
Batman Begins           	0.3659	0.3263	0.3314	0.3702	0.3185	0.4783	0.3925	
Lost in Translation     	0.4011	0.4229	0.5404	0.2968	0.3765	0.5238	0.2855	
Hotel Rwanda            	0.3284	0.3202	0.3576	0.2390	0.3517	0.2624	0.3211	
A Night at the Opera    	0.1430	0.2429	0.2435	0.1896	0.2208	0.4424	0.1351	
Spartacus               	0.2578	0.2835	0.2920	0.2410	0.2247	0.3034	0.2617	
The Prestige            	0.3787	0.3045	0.2750	0.5087	0.2679	0.3410	0.2953	
The Shop Around the Corner	0.1816	0.2772	0.4303	0.2547	0.1964	0.3718	0.1334	
Who Framed Roger Rabbit 	0.2084	0.2297	0.1923	0.4465	0.1930	0.4982	0.1482	
The Incredibles         	0.2966	0.2821	0.2620	0.5055	0.2619	0.5081	0.2453	
Dazed and Confused      	0.2672	0.2488	0.1884	0.3403	0.2574	0.4594	0.1427	
Blazing Saddles         	0.1855	0.3387	0.1511	0.2922	0.2414	0.6718	0.2809	
Day for Night           	0.2275	0.1620	0.2264	0.2211	0.1139	0.3110	0.1291	
The Green Mile          	0.3064	0.4267	0.3821	0.2957	0.3056	0.4024	0.2676	
Dial M for Murder       	0.2877	0.2659	0.2535	0.1985	0.1863	0.3065	0.1945	
Dirty Harry             	0.2530	0.2639	0.2236	0.2243	0.1784	0.3714	0.2974	
Iron Man                	0.2930	0.3254	0.2945	0.3481	0.2994	0.5220	0.2903	
Casino                  	0.2717	0.2943	0.2887	0.1881	0.2727	0.3330	0.3636	
A Christmas Story       	0.2377	0.3260	0.2466	0.4450	0.2546	0.6471	0.1996	
Serpico                 	0.2364	0.2098	0.2304	0.1701	0.2307	0.2522	0.2422	
Barton Fink             	0.2689	0.2625	0.1737	0.2005	0.2970	0.3223	0.1965	
Mary Poppins            	0.2301	0.2382	0.2238	0.4874	0.2980	0.4954	0.1928	
The Sixth Sense         	0.2921	0.3509	0.3736	0.2874	0.3313	0.3651	0.2954	
My Fair Lady            	0.2461	0.2353	0.2634	0.3327	0.2463	0.4145	0.1893	
Ed Wood                 	0.3117	0.2756	0.3123	0.2678	0.3043	0.4524	0.1884	
The Sound of Music      	0.2906	0.2980	0.2905	0.3808	0.2965	0.4631	0.2115	
Enter the Dragon        	0.2291	0.2847	0.2179	0.2090	0.1912	0.3467	0.2997	
Rain Man                	0.2643	0.2309	0.2668	0.2090	0.3099	0.3363	0.2147	
The Birds               	0.2514	0.2910	0.2984	0.2317	0.2325	0.3609	0.2465	
Edward Scissorhands     	0.2572	0.3289	0.3665	0.4193	0.2650	0.4233	0.2184	
