FILM	HA	LA	CO	BA	FR	GM	BM
1     	3357	2873	1264	2035	1990	2180	2692	
2     	970	1654	1082	346	21	1027	445	
3     	122	92	12	272	266	133	366	
4     	1980	873	942	3087	1679	1117	1989	
5     	349	110	526	1114	1143	1942	74	
6     	1459	1854	3347	2398	3617	17	168	
7     	2047	494	1665	3306	2382	1150	2317	
8     	552	128	611	537	417	553	503	
9     	142	1438	860	1326	1335	1461	1409	
10    	4174	1924	6780	3974	5793	2272	4834	
11    	1616	202	15	176	418	1082	931	
12    	152	691	52	509	113	462	139	
13    	341	227	511	298	445	651	115	
14    	1106	515	133	688	1163	515	176	
15    	2818	913	1286	537	2507	531	2219	
16    	182	236	20	209	26	253	379	
17    	675	775	1272	495	1158	800	274	
18    	945	1084	574	378	2222	2137	1844	
19    	1333	1271	215	449	478	496	933	
20    	128	1048	3574	2139	1685	2194	1044	
21    	340	603	38	701	373	42	705	
22    	822	414	250	602	24	708	906	
23    	669	633	385	351	307	298	730	
24    	1271	269	864	2486	928	86	1406	
25    	28	1015	1101	1945	246	1487	50	
26    	102	143	209	172	325	351	50	
27    	105	1705	174	3255	2437	420	1504	
28    	78	702	650	951	395	1087	44	
29    	1450	260	489	683	720	693	1022	
30    	1344	339	825	358	1541	116	1336	
31    	2626	1955	1957	427	1770	1637	361	
32    	3055	1377	2441	2589	1737	2212	3164	
33    	752	1203	267	407	1035	1255	259	
34    	426	633	643	119	267	366	1008	
35    	2291	308	738	128	2005	482	2569	
36    	169	1762	574	1136	2456	1499	1376	
37    	445	186	158	1301	868	101	769	
38    	586	725	268	180	1226	503	904	
39    	545	15	384	166	580	27	675	
40    	404	488	808	596	1274	633	1265	
41    	1367	1482	124	551	1993	1731	1837	
42    	86	797	535	646	252	218	205	
43    	1736	3367	257	3049	3126	729	651	
44    	1044	2849	5385	1781	4317	1954	1070	
45    	225	59	1235	1277	1078	1429	412	
46    	643	94	206	425	459	640	193	
47    	580	960	782	271	840	1189	367	
48    	248	1099	684	1051	64	1189	627	
49    	144	70	144	78	319	48	253	
50    	549	268	294	203	229	451	775	
51    	1430	1211	17	799	406	1204	1394	
52    	1207	586	1527	2196	877	225	2590	
53    	38	581	375	578	952	701	570	
54    	9	177	206	103	66	26	153	
55    	631	106	1409	903	1887	1328	1030	
56    	3069	199	1598	1397	5907	3968	321	
57    	204	30	615	134	285	270	491	
58    	1006	1466	315	879	33	847	437	
59    	712	686	727	247	431	247	542	
60    	309	296	160	225	218	372	242	
61    	127	244	552	1244	1238	804	95	
62    	430	177	949	1930	1405	222	1393	
63    	1337	959	327	1017	221	936	1069	
64    	1080	1406	617	1210	903	772	638	
65    	752	776	1005	341	538	916	965	
66    	587	189	405	776	847	261	71	
67    	434	502	448	415	450	311	453	
68    	193	555	510	600	251	616	110	
69    	711	162	174	255	416	679	16	
70    	309	79	674	901	836	798	721	
71    	342	14	1721	551	2188	1417	2003	
72    	991	1615	1256	1260	1075	27	1232	
73    	71	1	69	29	46	101	101	
74    	491	329	117	118	244	248	374	
75    	351	408	760	664	283	1030	1078	
76    	1069	1280	1590	753	1034	1458	415	
77    	118	23	118	99	112	16	125	
78    	320	842	730	199	582	808	133	
79    	2029	291	1631	718	1580	2454	232	
80    	2336	2439	429	1710	481	469	1138	
81    	601	1583	667	446	1199	1347	1428	
82    	194	911	435	525	993	389	781	
83    	3605	1115	415	1892	5943	2710	7056	
84    	5603	2465	4744	1407	466	634	1277	
85    	1269	284	490	137	981	1153	1457	
86    	208	197	81	350	237	109	313	
87    	187	364	255	696	1071	322	371	
88    	143	1591	292	432	901	2108	1569	
89    	180	317	108	510	505	393	411	
90    	770	91	836	138	567	837	313	
91    	990	3778	549	3876	2589	462	3924	
92    	361	159	404	917	59	56	555	
93    	1449	454	90	522	854	1099	793	
94    	89	187	220	84	188	130	209	
95    	910	2574	1495	287	281	661	2466	
96    	690	504	436	363	315	331	80	
97    	524	21	562	538	77	282	35	
98    	2101	3162	3507	2582	1709	1357	1257	
99    	931	1382	1420	1192	769	811	766	
100   	2605	3436	244	125	2916	2857	180	
101   	334	333	96	445	9	121	231	
102   	254	186	339	258	301	385	200	
103   	2866	910	803	839	2565	680	2774	
104   	2880	104	2835	2045	2207	1135	167	
105   	731	36	328	1080	942	1298	1013	
106   	334	1427	1279	968	1469	852	169	
107   	868	551	3761	3026	2198	2831	1225	
108   	438	579	216	663	630	670	874	
109   	407	362	311	245	750	617	322	
110   	606	506	13	1185	492	687	374	
111   	1211	1732	800	1674	1076	644	1270	
112   	300	216	73	309	104	111	154	
113   	24	670	217	437	892	611	571	
114   	251	3576	4957	2075	5284	4407	1329	
115   	2235	1667	1474	304	1454	37	2003	
116   	739	1194	306	660	459	557	511	
117   	3512	907	342	3350	2053	413	1921	
118   	375	1886	3035	2119	1762	931	564	
119   	379	481	106	541	418	770	786	
120   	1657	410	1378	834	842	1723	198	
121   	269	736	845	736	329	6	768	
122   	3827	3591	2138	681	2582	585	2358	
123   	615	679	342	551	546	679	450	
124   	171	2	195	195	35	194	15	
125   	332	53	11	1251	88	1768	611	
126   	6	354	196	121	81	150	154	
127   	126	1235	1619	307	7	352	42	
128   	111	117	675	159	501	190	400	
129   	166	1007	808	645	418	906	402	
130   	351	342	566	493	508	46	244	
131   	351	299	308	73	292	159	149	
132   	214	290	353	35	105	300	442	
133   	128	176	11	24	299	231	343	
134   	7012	3803	5516	1160	6432	1885	2562	
135   	700	1679	1827	1325	995	232	1484	
136   	371	69	371	316	57	286	374	
137   	768	292	1124	1499	710	863	1246	
138   	299	435	311	830	1768	1330	664	
139   	508	292	230	14	42	471	89	
140   	80	579	176	6	333	491	503	
141   	405	297	405	455	8	87	673	
142   	470	731	559	467	393	73	2	
143   	24	309	140	439	176	491	221	
144   	238	379	100	406	192	396	193	
145   	90	413	183	490	287	463	171	
146   	858	1007	46	807	329	358	258	
147   	41	519	609	12	186	15	418	
148   	460	1451	2073	297	1725	1758	539	
149   	551	658	1762	693	1602	958	678	
150   	404	467	650	440	495	209	150	
151   	230	81	708	881	1073	823	960	
