L            	HA	LA	CO	BA	FR	GM	BM
able cry     	4,349	0,000	0,000	0,000	0,000	0,000	0,000	
absorb       	9,766	0,000	0,000	0,000	0,000	0,000	0,000	
abuse        	0,000	0,000	0,000	0,000	0,000	0,000	1,701	
achieve      	2,249	0,000	0,000	0,000	0,000	0,000	0,000	
action       	0,000	0,000	0,000	0,000	0,960	0,000	0,000	
addictive    	0,000	8,298	0,000	0,000	0,000	0,000	0,000	
adjust       	2,996	0,000	0,000	0,000	0,000	0,000	0,000	
admiration   	0,000	0,000	0,000	0,000	4,833	0,000	0,000	
admire       	0,000	0,000	0,000	0,000	7,964	3,117	0,000	
admire be    	0,000	0,000	0,000	0,000	0,000	2,438	0,000	
adorable     	0,000	0,000	0,000	9,656	0,000	7,725	0,000	
adore        	0,000	0,000	3,922	0,000	0,000	0,000	0,000	
adrenaline   	0,000	0,000	0,000	0,000	0,000	0,000	4,741	
adult kid    	0,000	0,000	0,000	2,215	0,000	0,000	0,000	
advance      	1,556	0,000	0,000	0,000	0,000	0,000	0,000	
adventure    	0,000	0,000	0,000	4,935	0,000	0,000	0,000	
adventurous  	0,000	0,000	0,000	2,842	0,000	0,000	0,000	
advice       	0,000	0,000	0,000	0,000	1,654	0,000	0,000	
advise       	0,000	0,000	0,000	0,000	6,381	0,000	0,000	
affection    	0,000	0,000	6,390	0,000	4,090	0,000	0,000	
affectionate 	0,000	0,000	3,103	3,103	0,000	0,000	0,000	
affinity     	0,000	0,000	3,550	0,000	0,000	0,000	0,000	
aggression   	0,000	0,000	0,000	0,000	0,000	0,000	4,895	
aim          	2,051	0,000	0,000	0,000	0,000	0,000	0,000	
allegory     	5,085	0,000	0,000	0,000	0,000	0,000	0,000	
amazing animation	0,000	0,000	0,000	5,205	0,000	0,000	0,000	
ambiguous    	7,345	0,000	0,000	0,000	0,000	0,000	0,000	
ambitious    	9,004	0,000	0,000	0,000	0,000	0,000	0,000	
ambivalent   	5,242	0,000	0,000	0,000	0,000	0,000	0,000	
amiable      	0,000	0,000	0,000	2,554	0,000	0,000	0,000	
amorous      	0,000	0,000	2,987	0,000	0,000	0,000	0,000	
anger        	0,000	0,000	0,000	0,000	0,000	0,000	11,003	
angry        	0,000	0,000	0,000	0,000	0,000	0,000	12,379	
anguish      	0,000	0,000	0,000	0,000	0,000	0,000	2,279	
animated     	0,000	0,000	0,000	4,998	0,000	0,000	0,000	
animated feature	0,000	0,000	0,000	2,732	0,000	0,000	0,000	
animated film	0,000	0,000	0,000	2,444	0,000	0,000	0,000	
animation    	0,000	0,000	0,000	3,804	0,000	0,000	0,000	
animation movie	0,000	0,000	0,000	3,103	0,000	0,000	0,000	
animosity    	0,000	0,000	0,000	0,000	0,000	0,000	3,617	
annoyance    	0,000	0,000	0,000	0,000	0,000	0,000	5,325	
anxiety      	0,000	0,000	0,000	0,000	0,000	0,000	2,953	
appreciate   	0,000	0,000	0,000	0,000	0,000	3,263	0,000	
argue        	0,000	0,000	0,000	0,000	0,000	0,000	8,889	
arrogant     	0,000	0,000	0,000	0,000	0,000	0,000	9,361	
assist       	0,000	0,000	0,000	0,000	8,785	0,000	0,000	
attention    	6,994	0,000	0,000	0,000	0,000	0,000	0,000	
attention detail	6,172	0,000	0,000	0,000	0,000	0,000	0,000	
attract      	0,000	0,000	8,031	0,000	0,000	0,000	0,000	
attraction   	0,000	0,000	7,924	0,000	0,000	0,000	0,000	
attractive   	0,000	0,000	2,506	0,000	0,000	0,000	0,000	
autobiography	6,329	0,000	0,000	0,000	0,000	0,000	0,000	
awkward scene	0,000	0,000	0,000	0,000	0,000	6,177	0,000	
baby         	0,000	0,000	0,000	6,282	0,000	0,000	0,000	
bad          	0,000	0,000	0,000	0,000	0,000	0,000	1,982	
bad day      	0,000	0,000	0,000	0,000	0,000	0,000	3,550	
bad mood     	0,000	0,000	0,000	0,000	0,000	0,000	11,662	
bad person   	0,000	0,000	0,000	0,000	0,000	0,000	4,118	
