FILM	HA	LA	CO	BA	FR	GM	BM
1     	3420	1996	1251	1419	418	180	1956	
2     	1476	978	1346	999	580	322	688	
3     	352	266	418	217	324	58	334	
4     	2633	1117	1762	21	2836	1117	1989	
5     	2501	186	1024	1699	2261	1856	2618	
6     	609	46	291	3537	225	17	2179	
7     	890	4041	2099	927	1418	4041	1992	
8     	47	157	25	537	575	446	245	
9     	647	1491	1244	1464	889	272	1397	
10    	6652	3061	2047	1791	4752	2891	552	
11    	1616	1006	1607	176	629	1366	1474	
12    	479	448	836	822	502	822	139	
13    	310	252	292	32	475	73	79	
14    	1245	436	938	1044	110	633	580	
15    	1631	913	2201	776	284	599	1536	
16    	81	118	138	272	136	136	247	
17    	675	530	1139	530	1158	964	44	
18    	499	1989	82	94	167	1270	1200	
19    	768	890	310	139	1210	1177	985	
20    	3415	2402	622	3	265	2699	1888	
21    	340	603	204	18	570	457	728	
22    	675	273	449	449	24	708	595	
23    	180	732	844	315	386	443	180	
24    	1745	2544	1236	1087	928	117	2019	
25    	432	527	1977	832	1071	1852	800	
26    	553	97	351	172	349	558	50	
27    	1793	2621	2634	2179	182	2621	1917	
28    	72	440	564	1062	768	251	173	
29    	1139	1688	615	767	764	1100	1673	
30    	152	1572	1334	1768	1058	1729	1648	
31    	2109	693	1957	778	1998	1637	2008	
32    	739	1349	2729	2589	1407	1339	2785	
33    	814	874	1447	256	1264	1458	957	
34    	358	762	129	971	267	1044	1008	
35    	685	2538	133	276	2586	715	1190	
36    	423	1974	1948	2430	2235	99	2327	
37    	823	1122	1277	476	166	78	1262	
38    	1110	1030	591	673	324	503	1156	
39    	672	223	376	46	114	154	545	
40    	1099	642	943	59	631	1182	1099	
41    	603	243	432	1974	1993	43	1137	
42    	208	22	469	551	22	22	128	
43    	563	3000	2727	3319	3467	362	1837	
44    	1770	5122	4032	1116	4132	3805	4151	
45    	1780	1057	429	1277	1904	215	1922	
46    	450	473	382	149	47	47	603	
47    	665	537	43	1068	155	466	806	
48    	187	338	1113	1077	89	826	476	
49    	187	247	144	52	84	297	253	
50    	109	391	294	290	300	391	243	
51    	1646	1094	1478	1675	406	1261	851	
52    	412	1332	2594	1091	1699	622	2938	
53    	172	435	375	929	814	487	498	
54    	9	27	206	66	26	26	132	
55    	631	789	122	100	1047	155	104	
56    	1208	500	2470	3687	1312	5306	5760	
57    	334	491	17	178	280	276	580	
58    	367	346	440	741	1046	847	38	
59    	712	561	422	431	169	741	22	
60    	208	350	160	408	26	269	242	
61    	869	452	1427	994	738	358	215	
62    	265	177	711	1811	162	2050	1817	
63    	123	959	286	451	1453	613	1069	
64    	1212	56	567	215	122	978	853	
65    	822	1055	67	1424	120	251	580	
66    	372	189	40	138	835	261	133	
67    	434	457	228	415	504	460	23	
68    	250	36	558	600	251	480	393	
69    	711	162	102	752	474	9	456	
70    	740	39	467	901	836	409	686	
71    	2561	650	2262	1049	5	2318	1383	
72    	689	1329	1230	1458	167	1329	2089	
73    	18	18	36	29	33	17	84	
74    	239	471	362	171	313	463	138	
75    	501	827	1030	145	988	427	510	
76    	9	424	1284	1814	116	1070	732	
77    	118	116	116	117	112	116	1	
78    	301	938	316	161	143	1165	133	
79    	1868	547	1876	2516	837	1565	1681	
80    	1656	2631	1047	2297	1261	12	1786	
81    	305	1583	959	712	1404	235	1176	
82    	1223	1284	1388	822	1407	885	580	
83    	1516	959	3845	3830	582	4335	198	
84    	3619	5437	497	1407	3802	3425	4429	
85    	167	659	1507	1373	1516	183	199	
86    	344	49	237	226	188	109	38	
87    	856	184	255	744	51	53	596	
88    	57	330	752	1554	2570	2442	380	
89    	128	118	369	152	505	505	379	
90    	413	883	989	797	826	934	178	
91    	3762	3301	1824	887	1372	1573	1920	
92    	633	802	404	679	778	111	229	
93    	402	365	681	834	1213	423	1481	
94    	7	219	202	115	153	188	153	
95    	1255	2184	2504	667	2185	661	511	
96    	612	504	810	732	847	691	316	
97    	524	21	562	561	17	359	317	
98    	471	3162	497	2280	792	1191	3618	
99    	1222	1382	716	1305	307	204	766	
100   	1178	525	2259	1242	120	2128	1417	
101   	248	333	219	36	424	307	151	
102   	62	509	339	407	73	470	200	
103   	1272	2180	1865	2976	1442	1391	463	
104   	775	359	238	2668	3235	334	3153	
105   	731	36	404	1300	1511	112	757	
106   	305	1127	1104	1198	208	379	305	
107   	1395	551	839	2290	2891	1473	588	
108   	357	357	687	44	981	981	541	
109   	109	96	566	645	53	604	53	
110   	606	1226	92	693	317	793	13	
111   	420	1647	1242	918	147	1236	426	
112   	216	216	189	111	80	94	154	
113   	178	344	526	285	906	344	906	
114   	2320	5425	4470	4085	2413	3843	1406	
115   	337	698	502	2058	261	266	760	
116   	762	1194	1315	660	608	538	511	
117   	1373	5182	4157	3731	4846	2797	1001	
118   	1531	2826	2418	3607	1762	1915	2409	
119   	563	481	274	9	383	354	158	
120   	407	564	737	1234	1607	309	1743	
121   	836	529	113	882	176	553	343	
122   	7	2483	3478	2615	3060	1568	1388	
123   	154	9	624	623	679	149	68	
124   	171	2	195	195	181	35	120	
125   	437	1534	1440	1456	985	1105	734	
126   	6	354	121	121	53	53	229	
127   	1054	1235	198	1007	1152	212	1010	
128   	111	215	736	283	258	104	938	
129   	435	675	763	68	675	906	1293	
130   	267	66	541	558	149	460	245	
131   	128	299	144	11	222	300	149	
132   	382	158	285	468	158	487	158	
133   	298	227	11	24	265	434	24	
134   	5037	3688	731	4235	6320	1635	1239	
135   	616	1489	1576	369	1744	148	1155	
136   	371	69	371	119	340	179	281	
137   	1164	292	564	1596	385	108	1238	
138   	439	1613	1022	319	1187	1330	1104	
139   	106	141	230	14	163	219	400	
140   	160	251	481	333	106	251	106	
141   	823	279	146	685	875	466	407	
142   	538	596	160	798	602	765	538	
143   	255	309	67	434	313	434	221	
144   	335	379	253	279	255	136	184	
145   	90	110	375	458	460	463	141	
146   	944	322	891	700	201	398	393	
147   	396	485	535	604	516	447	617	
148   	700	821	1692	297	867	908	115	
149   	1427	1770	1747	2245	2188	2004	688	
150   	16	286	144	408	286	447	286	
151   	230	929	249	729	96	751	919	
152   	302	959	1842	1925	1738	1682	182	
153   	943	378	1121	118	378	1230	794	
