L            	HA	LA	CO	BA	FR	GM	BM
20th century 	0,00000000000	0,00000000000	0,00000120701	0,00000116331	0,00000000000	0,00000000000	0,00000000000	
21st century 	0,00000205711	0,00000000000	0,00000171999	0,00000000000	0,00000000000	0,00000000000	0,00000000000	
ability be   	0,00000000000	0,00002145393	0,00000000000	0,00000280177	0,00000000000	0,00000415717	0,00000000000	
able do      	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000439622	0,00000000000	0,00000000000	
able enjoy   	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000241934	0,00000000000	
able get     	0,00000320588	0,00000000000	0,00000000000	0,00000258345	0,00000000000	0,00000191662	0,00000000000	
able make    	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000188139	
able see     	0,00000000000	0,00000000000	0,00000000000	0,00000176041	0,00000295675	0,00000000000	0,00000000000	
able watch   	0,00000000000	0,00000000000	0,00000149564	0,00000288298	0,00000000000	0,00000106942	0,00000000000	
above average	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000202164	0,00000000000	
absolute best	0,00000000000	0,00000000000	0,00000000000	0,00000497315	0,00000000000	0,00000184475	0,00000000000	
academy award	0,00000000000	0,00000000000	0,00000000000	0,00000069554	0,00000000000	0,00000000000	0,00000026642	
accent be    	0,00000574076	0,00000885598	0,00000000000	0,00000000000	0,00000388503	0,00000171604	0,00000000000	
achievement be	0,00000000000	0,00000000000	0,00000000000	0,00000310822	0,00000000000	0,00000000000	0,00000000000	
act ability  	0,00000000000	0,00000000000	0,00000173444	0,00000000000	0,00000000000	0,00000000000	0,00000000000	
act be       	0,00000030141	0,00000278980	0,00000151208	0,00000048578	0,00000000000	0,00000090097	0,00000055821	
act direct   	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000064030	
act film     	0,00000203171	0,00000000000	0,00000000000	0,00000081862	0,00000137495	0,00000000000	0,00000000000	
act great    	0,00000000000	0,00000000000	0,00000000000	0,00000147352	0,00000000000	0,00000000000	0,00000000000	
act have     	0,00000602080	0,00000000000	0,00000251705	0,00000000000	0,00000000000	0,00000000000	0,00000000000	
act make     	0,00000200693	0,00000000000	0,00000335607	0,00000000000	0,00000000000	0,00000000000	0,00000000000	
act movie    	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000050368	0,00000000000	
act performance	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000080645	0,00000000000	
act skill    	0,00000000000	0,00000989110	0,00000000000	0,00000000000	0,00000000000	0,00000191662	0,00000197912	
act write    	0,00000000000	0,00000000000	0,00000327616	0,00000000000	0,00000000000	0,00000000000	0,00000000000	
acting be    	0,00000055831	0,00000073824	0,00000020006	0,00000044991	0,00000053976	0,00000057220	0,00000073857	
acting good  	0,00000214654	0,00000662274	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	
acting great 	0,00000000000	0,00000000000	0,00000000000	0,00000091671	0,00000000000	0,00000204027	0,00000000000	
action adventure	0,00000000000	0,00000000000	0,00000110373	0,00000212755	0,00000000000	0,00000000000	0,00000162987	
action be    	0,00000062812	0,00000290693	0,00000105037	0,00000101235	0,00000042508	0,00000112656	0,00000135719	
action comedy	0,00000000000	0,00000000000	0,00000198460	0,00000191275	0,00000000000	0,00000425711	0,00000000000	
action film  	0,00000040870	0,00000000000	0,00000034172	0,00000000000	0,00000055317	0,00000122169	0,00000025231	
action flick 	0,00000145207	0,00000000000	0,00000121411	0,00000000000	0,00000000000	0,00000086812	0,00000089643	
action good  	0,00000277363	0,00000000000	0,00000231908	0,00000000000	0,00000000000	0,00000000000	0,00000000000	
action great 	0,00000000000	0,00000000000	0,00000000000	0,00000134409	0,00000000000	0,00000099716	0,00000102968	
action hero  	0,00000000000	0,00000000000	0,00000231908	0,00000000000	0,00000000000	0,00000000000	0,00000000000	
action humor 	0,00000000000	0,00000000000	0,00000000000	0,00000255033	0,00000000000	0,00000000000	0,00000000000	
