FILM         	HA	LA	CO	BA	FR	GM	BM
Pulp Fiction 	0,0326	0,0396	0,0473	0,0285	0,0480	0,0667	0,0402	
Lawrence of Arabia	0,0280	0,0189	0,0306	0,0198	0,0386	0,0372	0,0363	
Modern Times 	0,0180	0,0298	0,0428	0,0240	0,0380	0,0588	0,0200	
Goodfellas   	0,0282	0,0308	0,0386	0,0258	0,0428	0,0421	0,0379	
Apocalypse Now	0,0270	0,0277	0,0441	0,0233	0,0377	0,0359	0,1334	
Casablanca   	0,0293	0,0305	0,1014	0,0288	0,0486	0,0443	0,0369	
The Shawshank Redemption	0,0361	0,0264	0,0534	0,0264	0,0574	0,0374	0,0297	
Rashomon     	0,0330	0,0247	0,0286	0,0166	0,0372	0,0344	0,0291	
The Third Man	0,0227	0,0331	0,0361	0,0184	0,0533	0,0326	0,0321	
The Dark Knight	0,0348	0,0321	0,0452	0,0317	0,0478	0,0495	0,0733	
Chinatown    	0,0548	0,0196	0,0294	0,0190	0,0373	0,0337	0,0293	
Double Indemnity	0,0346	0,0272	0,0301	0,0173	0,0312	0,0384	0,0258	
Ikiru        	0,0253	0,0366	0,0345	0,0189	0,0326	0,0290	0,0292	
Raging Bull  	0,0197	0,0222	0,0335	0,0172	0,0318	0,0263	0,0586	
North by Northwest	0,0504	0,0350	0,0480	0,0341	0,0371	0,0621	0,0319	
Tokyo Story  	0,0312	0,0301	0,0327	0,0229	0,0392	0,0294	0,0281	
All About Eve	0,0190	0,0208	0,0379	0,0226	0,0683	0,0411	0,0249	
The Silence of the Lambs	0,0386	0,0309	0,0369	0,0213	0,0365	0,0366	0,0586	
Toy Story    	0,0213	0,0367	0,0699	0,1580	0,0401	0,0932	0,0239	
Saving Private Ryan	0,0326	0,0256	0,0493	0,0289	0,0482	0,0315	0,2655	
Back to the Future	0,0232	0,0546	0,0469	0,1032	0,0575	0,1260	0,0207	
Annie Hall   	0,0230	0,0656	0,0605	0,0310	0,0556	0,0810	0,0281	
It Happened One Night	0,0200	0,0553	0,0600	0,0384	0,0452	0,0981	0,0274	
Aliens       	0,0267	0,0286	0,0407	0,0452	0,0373	0,0567	0,0380	
Amadeus      	0,0238	0,0276	0,0548	0,0305	0,0384	0,0470	0,0281	
La Dolce Vita	0,0202	0,0230	0,0334	0,0234	0,0364	0,0349	0,0262	
The Shining  	0,0310	0,0326	0,0406	0,0289	0,0441	0,0490	0,0615	
The Best Years of Our Lives	0,0282	0,0215	0,0608	0,0263	0,0409	0,0368	0,0622	
Fargo        	0,0415	0,0612	0,0377	0,0256	0,0454	0,0894	0,0409	
Reservoir Dogs	0,0317	0,0410	0,0443	0,0233	0,0453	0,0494	0,0437	
My Neighbor Totoro	0,0284	0,0423	0,0728	0,1480	0,0501	0,0716	0,0288	
Memento      	0,0707	0,0440	0,0375	0,0232	0,0566	0,0511	0,0372	
The Pianist  	0,0330	0,0236	0,0588	0,0350	0,0386	0,0278	0,0539	
Cool Hand Luke	0,0252	0,0249	0,0458	0,0310	0,0403	0,0410	0,0275	
Jaws         	0,0245	0,0365	0,0463	0,0303	0,0437	0,0577	0,0501	
To Kill a Mockingbird	0,0252	0,0287	0,0498	0,0510	0,0417	0,0364	0,0504	
Once Upon a Time in America	0,0372	0,0340	0,0469	0,0263	0,0473	0,0295	0,0275	
Barry Lyndon 	0,0352	0,0304	0,0296	0,0195	0,0375	0,0376	0,0286	
The Grapes of Wrath	0,0186	0,0215	0,0466	0,0328	0,0300	0,0304	0,0331	
Before Sunset	0,0243	0,0287	0,1030	0,0261	0,0442	0,0442	0,0310	
The Usual Suspects	0,0659	0,0414	0,0354	0,0251	0,0486	0,0520	0,0316	
Strangers on a Train	0,0301	0,0284	0,0305	0,0178	0,0277	0,0359	0,0315	
The Departed 	0,0689	0,0379	0,0416	0,0262	0,0391	0,0466	0,0383	
Fight Club   	0,0474	0,0371	0,0446	0,0274	0,0546	0,0589	0,0960	
Full Metal Jacket	0,0218	0,0308	0,0452	0,0287	0,0513	0,0441	0,1988	
Dog Day Afternoon	0,0233	0,0251	0,0284	0,0194	0,0407	0,0448	0,0349	
This Is Spinal Tap	0,0200	0,0963	0,0273	0,0300	0,0547	0,1299	0,0327	
Die Hard     	0,0244	0,0418	0,0279	0,0368	0,0406	0,0644	0,0358	
Duck Soup    	0,0339	0,0422	0,0271	0,0261	0,0429	0,0922	0,0366	
Trainspotting	0,0333	0,0688	0,0248	0,0246	0,0631	0,0890	0,0398	
Young Frankenstein	0,0212	0,0766	0,0466	0,0447	0,0574	0,1376	0,0253	
Forrest Gump 	0,0224	0,0422	0,0797	0,0503	0,0696	0,0681	0,0342	
The Graduate 	0,0205	0,0497	0,0494	0,0265	0,0367	0,0631	0,0234	
Incendies    	0,0386	0,0178	0,0289	0,0181	0,0273	0,0234	0,0402	
The Terminator	0,0293	0,0322	0,0417	0,0534	0,0392	0,0536	0,0403	
The Matrix   	0,0427	0,0285	0,0409	0,0556	0,0547	0,0532	0,0505	
Talk to Her  	0,0374	0,0369	0,0789	0,0205	0,0409	0,0280	0,0277	
Good Will Hunting	0,0241	0,0267	0,0526	0,0273	0,0920	0,0452	0,0288	
Frankenstein 	0,0175	0,0351	0,0302	0,0328	0,0484	0,0475	0,0359	
Infernal Affairs	0,0448	0,0366	0,0260	0,0182	0,0254	0,0247	0,0314	
Toy Story 2  	0,0235	0,0374	0,0722	0,1203	0,0469	0,1014	0,0258	
