FILM	HA	LA	CO	BA	FR	GM	BM
1     	3420	1996	1251	1419	2676	180	1473	
2     	1476	978	507	999	580	907	688	
3     	122	266	418	272	46	58	209	
4     	2633	1117	2948	21	2836	1117	1989	
5     	2501	186	1024	1699	2063	1856	2618	
6     	609	46	328	3537	225	3293	2541	
7     	890	4041	2099	102	819	4041	2317	
8     	47	556	548	537	575	446	245	
9     	647	1491	1244	1326	271	272	1397	
10    	6652	3864	5202	1791	4752	2891	552	
11    	1616	1006	1106	176	629	1366	1137	
12    	152	448	836	643	49	822	644	
13    	295	252	549	32	446	73	487	
14    	271	515	938	486	520	78	580	
15    	1631	913	2201	776	1547	955	2870	
16    	51	118	32	272	209	32	247	
17    	836	632	1139	1249	1158	964	262	
18    	499	1790	859	1980	94	1270	1200	
19    	768	1271	310	139	1210	1177	985	
20    	3144	891	622	4120	647	2699	1888	
21    	340	603	204	18	570	457	728	
22    	894	300	449	602	24	708	595	
23    	671	732	844	315	178	443	180	
24    	1745	2544	1236	1087	928	117	2019	
25    	432	527	1568	832	1071	1852	800	
26    	102	97	105	231	323	558	50	
27    	1793	2621	2634	433	182	2621	1917	
28    	72	702	650	1062	919	251	44	
29    	1139	1688	1382	683	764	1100	1707	
30    	1245	1572	824	1768	1058	429	1648	
31    	2109	693	1957	778	428	1224	2008	
32    	739	2615	2756	2589	1407	1339	1566	
33    	814	874	543	256	1264	1458	957	
34    	358	762	129	971	267	1044	1008	
35    	685	2538	133	276	1104	715	1190	
36    	423	1974	1948	2430	79	1499	2327	
37    	999	1122	1053	1098	166	78	877	
38    	324	1030	1139	1221	158	503	150	
39    	672	223	384	46	653	154	545	
40    	327	642	375	59	707	1182	297	
41    	603	243	432	1974	1993	43	1137	
42    	255	22	469	533	332	22	616	
43    	563	150	1911	3319	1284	362	651	
44    	1770	5122	4032	1116	4132	4751	4151	
45    	624	215	429	1277	1904	215	1922	
46    	450	525	573	539	573	47	603	
47    	665	537	1110	425	155	537	806	
48    	187	1099	1113	1077	89	826	476	
49    	144	247	144	52	234	297	253	
50    	109	391	793	203	300	391	378	
51    	1646	1094	1478	1675	406	1525	851	
52    	412	2148	1765	1091	1699	367	2938	
53    	172	435	375	929	406	52	618	
54    	9	27	74	103	109	26	132	
55    	631	789	122	100	1630	155	104	
56    	1208	500	2470	1569	2273	5306	5760	
57    	334	30	17	178	650	276	674	
58    	367	346	440	879	1046	1005	713	
59    	712	561	167	180	169	741	22	
60    	208	350	160	408	218	269	242	
61    	869	452	1427	891	1346	358	215	
62    	265	177	711	1811	1334	2050	1817	
63    	123	959	286	451	1453	613	1069	
64    	1212	56	567	214	1239	978	853	
65    	822	1055	67	1424	120	251	580	
66    	112	220	100	138	835	261	133	
67    	369	457	228	415	504	460	23	
68    	435	36	251	209	251	118	393	
69    	711	162	785	255	331	9	456	
70    	740	79	467	901	836	409	686	
71    	2561	650	2262	248	2688	2318	1383	
72    	689	1329	1230	1458	1267	180	2089	
73    	18	62	69	29	46	17	102	
74    	142	471	248	171	225	463	382	
75    	501	408	1030	854	988	427	510	
76    	849	424	1284	1814	116	1070	1416	
77    	121	23	116	99	112	116	117	
78    	456	993	316	161	1092	967	133	
79    	1868	547	1876	2516	837	547	325	
80    	597	456	1047	2297	1261	2328	2297	
81    	601	1583	959	712	871	537	1428	
82    	1223	1284	1157	822	262	885	896	
83    	2473	2868	3845	3830	582	5807	198	
84    	3619	5437	3459	1407	1081	561	957	
85    	107	659	1507	1373	1516	971	705	
86    	344	198	295	72	257	109	226	
87    	856	779	198	744	565	53	596	
88    	1977	330	752	2636	173	2442	2312	
89    	128	118	369	152	452	505	379	
90    	413	883	708	797	826	934	178	
91    	3762	3301	1824	887	1372	1573	1920	
92    	838	802	404	679	778	177	229	
93    	402	365	681	834	1213	423	1481	
94    	188	219	58	2	153	188	97	
95    	1255	1277	2504	667	2185	661	97	
96    	612	504	619	713	296	691	760	
97    	396	333	562	561	17	359	303	
98    	471	3162	1257	4338	792	1191	1464	
99    	1222	1382	116	1305	1305	1085	766	
100   	1178	583	2259	1242	2512	2128	1417	
101   	334	333	231	129	47	307	151	
102   	62	509	339	115	73	470	206	
103   	1272	2180	1865	2976	1442	3337	463	
104   	775	2425	238	1546	3235	1526	3153	
105   	731	671	404	1598	1172	112	375	
106   	641	1127	1089	1198	208	149	1457	
107   	1395	551	2962	2290	2891	1473	588	
108   	292	357	432	191	1090	981	836	
109   	407	96	566	645	353	604	280	
110   	766	1226	1108	618	317	793	480	
111   	196	1647	1242	918	147	1236	1270	
112   	299	216	189	305	187	212	154	
113   	24	344	56	285	906	344	831	
114   	2320	5425	3	4085	2413	3843	4800	
115   	337	1051	502	2058	403	266	1041	
116   	762	1194	1261	660	608	538	310	
117   	1373	5182	4157	5026	3002	2797	1001	
118   	1531	2826	2418	3607	1762	1915	2409	
119   	53	602	274	541	418	354	704	
120   	407	564	737	834	1607	309	254	
121   	836	529	113	861	131	553	45	
122   	3157	2483	3478	2974	3060	1568	1388	
123   	154	9	624	623	588	149	450	
124   	171	2	63	195	43	35	161	
125   	437	850	1440	1456	985	1105	176	
126   	131	354	148	121	154	59	229	
127   	328	1666	69	1007	1152	212	1740	
128   	1086	215	868	283	111	104	938	
