L            	HA	LA	CO	BA	FR	GM	BM
.2           	0,00000000000	0,00000000000	0,00000162375	0,00000155856	0,00000000000	0,00000000000	0,00000093396	
.3           	0,00000000000	0,00000000000	0,00000157906	0,00000151566	0,00000229014	0,00000115082	0,00000090826	
18th         	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000141429	
1930         	0,00000000000	0,00000000000	0,00000256891	0,00000493156	0,00000000000	0,00000187222	0,00000147761	
1950         	0,00000000000	0,00000000000	0,00000000000	0,00000532927	0,00000000000	0,00000000000	0,00000000000	
1970         	0,00000261376	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000126923	
19th         	0,00000509684	0,00000887784	0,00000215146	0,00000000000	0,00000312032	0,00000156799	0,00000000000	
20th         	0,00000069110	0,00000000000	0,00000058345	0,00000000000	0,00000000000	0,00000000000	0,00000033559	
20th century 	0,00000000000	0,00000000000	0,00000100653	0,00000096612	0,00000000000	0,00000000000	0,00000000000	
21st         	0,00000000000	0,00000000000	0,00000000000	0,00000226311	0,00000000000	0,00000085917	0,00000135617	
21st century 	0,00000169895	0,00000000000	0,00000143431	0,00000000000	0,00000000000	0,00000000000	0,00000000000	
25th         	0,00000172774	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	
2nd          	0,00000178836	0,00000000000	0,00000000000	0,00000000000	0,00000218970	0,00000000000	0,00000000000	
3rd          	0,00000261376	0,00000000000	0,00000000000	0,00000000000	0,00000320033	0,00000000000	0,00000000000	
60           	0,00000000000	0,00000000000	0,00000148377	0,00000284840	0,00000000000	0,00000000000	0,00000000000	
:-rrb-       	0,00000175753	0,00000000000	0,00000148377	0,00000142420	0,00000000000	0,00000108137	0,00000000000	
=            	0,00000283158	0,00000986427	0,00000000000	0,00000688364	0,00000000000	0,00000174221	0,00000000000	
_            	0,00000000000	0,00000000000	0,00000223529	0,00000000000	0,00000000000	0,00000000000	0,00000000000	
a            	0,00000000000	0,00000403538	0,00000097794	0,00000281603	0,00000000000	0,00000000000	0,00000000000	
a.           	0,00000170606	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	
abandon      	0,00000261376	0,00000000000	0,00000220663	0,00000211804	0,00000000000	0,00000000000	0,00000126923	
ability      	0,00000297867	0,00000057648	0,00000195588	0,00000080458	0,00000263404	0,00000081454	0,00000048214	
ability be   	0,00000000000	0,00002000640	0,00000000000	0,00000232686	0,00000000000	0,00000353349	0,00000000000	
able         	0,00000127634	0,00000059284	0,00000136487	0,00000082742	0,00000197950	0,00000057589	0,00000049583	
able do      	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000328455	0,00000000000	0,00000000000	
able enjoy   	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000205638	0,00000000000	
able get     	0,00000264771	0,00000000000	0,00000000000	0,00000214555	0,00000000000	0,00000162908	0,00000000000	
able make    	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000122222	
able see     	0,00000000000	0,00000000000	0,00000000000	0,00000146201	0,00000220908	0,00000000000	0,00000000000	
able watch   	0,00000000000	0,00000000000	0,00000124722	0,00000239431	0,00000000000	0,00000090898	0,00000000000	
abound       	0,00000000000	0,00000000000	0,00000204901	0,00000000000	0,00000000000	0,00000149332	0,00000117857	
above        	0,00000000000	0,00000000000	0,00000073554	0,00000070601	0,00000106678	0,00000053606	0,00000042308	
above average	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000171834	0,00000000000	
absence      	0,00000000000	0,00000000000	0,00000806799	0,00000000000	0,00000390040	0,00000195998	0,00000000000	
absolute     	0,00000038107	0,00000000000	0,00000000000	0,00000030880	0,00000046659	0,00000023447	0,00000018505	
absolute best	0,00000000000	0,00000000000	0,00000000000	0,00000413018	0,00000000000	0,00000156799	0,00000000000	
absorb       	0,00001265882	0,00000232100	0,00000112495	0,00000215957	0,00000326308	0,00000040993	0,00000161765	
abuse        	0,00000000000	0,00000000000	0,00000183103	0,00000351505	0,00000265559	0,00000000000	0,00000210639	
academy      	0,00000030293	0,00000000000	0,00000000000	0,00000049096	0,00000037091	0,00000018639	0,00000014710	
academy award	0,00000000000	0,00000000000	0,00000000000	0,00000057765	0,00000000000	0,00000000000	0,00000017308	
accent       	0,00000045507	0,00000000000	0,00000076838	0,00000036877	0,00000167160	0,00000056000	0,00000022098	
accent be    	0,00000474125	0,00000825846	0,00000000000	0,00000000000	0,00000290262	0,00000145859	0,00000000000	
accept       	0,00000397156	0,00000000000	0,00000335293	0,00000393351	0,00000540315	0,00000054303	0,00000085714	
acceptable   	0,00000248626	0,00000000000	0,00000000000	0,00000000000	0,00000304421	0,00000000000	0,00000000000	
acceptance   	0,00000407747	0,00000000000	0,00001204819	0,00000991244	0,00001248128	0,00000250878	0,00000198000	
accident     	0,00000210179	0,00000000000	0,00000354880	0,00000170317	0,00000257346	0,00000129319	0,00000000000	
acclaimed    	0,00000225275	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000054696	
accompany    	0,00000291248	0,00000000000	0,00000163921	0,00000078670	0,00000118869	0,00000059733	0,00000141429	
accomplish   	0,00000000000	0,00000000000	0,00000107798	0,00000000000	0,00000052114	0,00000000000	0,00000020668	
accomplishment	0,00000000000	0,00000000000	0,00000000000	0,00000291542	0,00000000000	0,00000073788	0,00000000000	
accord       	0,00000000000	0,00000000000	0,00000000000	0,00000232686	0,00000175793	0,00000000000	0,00000069718	
account      	0,00000191131	0,00000000000	0,00000000000	0,00000103255	0,00000000000	0,00000000000	0,00000092813	
accuracy     	0,00000661927	0,00000000000	0,00000111764	0,00000000000	0,00000162095	0,00000000000	0,00000192857	
accurate     	0,00000282445	0,00000000000	0,00000065032	0,00000062421	0,00000031439	0,00000047395	0,00000024937	
achieve      	0,00000185340	0,00000000000	0,00000156470	0,00000090113	0,00000317705	0,00000091228	0,00000000000	
achievement  	0,00000229440	0,00000114184	0,00000027672	0,00000053121	0,00000160531	0,00000020167	0,00000000000	
achievement be	0,00000000000	0,00000000000	0,00000000000	0,00000258136	0,00000000000	0,00000000000	0,00000000000	
acknowledge  	0,00000000000	0,00000000000	0,00000878148	0,00000000000	0,00000254720	0,00000000000	0,00000202041	
act          	0,00000064952	0,00000087027	0,00000061162	0,00000032390	0,00000085645	0,00000029204	0,00000030327	
act ability  	0,00000000000	0,00000000000	0,00000144636	0,00000000000	0,00000000000	0,00000000000	0,00000000000	
act be       	0,00000024893	0,00000260157	0,00000126093	0,00000040344	0,00000000000	0,00000076581	0,00000036264	
act direct   	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000041597	
act film     	0,00000167797	0,00000000000	0,00000000000	0,00000067987	0,00000102727	0,00000000000	0,00000000000	
act great    	0,00000000000	0,00000000000	0,00000000000	0,00000122376	0,00000000000	0,00000000000	0,00000000000	
act have     	0,00000497253	0,00000000000	0,00000209899	0,00000000000	0,00000000000	0,00000000000	0,00000000000	
act make     	0,00000165751	0,00000000000	0,00000279865	0,00000000000	0,00000000000	0,00000000000	0,00000000000	
act movie    	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000042812	0,00000000000	
act performance	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000068546	0,00000000000	
act skill    	0,00000000000	0,00000922373	0,00000000000	0,00000000000	0,00000000000	0,00000162908	0,00000128572	
act story    	0,00000242707	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	
act write    	0,00000000000	0,00000000000	0,00000273202	0,00000000000	0,00000000000	0,00000000000	0,00000000000	
acting       	0,00000100508	0,00000010942	0,00000060987	0,00000043268	0,00000065377	0,00000034785	0,00000035079	
acting be    	0,00000046110	0,00000068843	0,00000016683	0,00000037365	0,00000040327	0,00000048635	0,00000047981	
acting good  	0,00000177281	0,00000617589	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	
acting great 	0,00000000000	0,00000000000	0,00000000000	0,00000076132	0,00000000000	0,00000173418	0,00000000000	
action       	0,00000137456	0,00000104098	0,00000053818	0,00000100087	0,00000048784	0,00000062511	0,00000054172	
action adventure	0,00000000000	0,00000000000	0,00000092041	0,00000176692	0,00000000000	0,00000000000	0,00000105882	
action be    	0,00000051876	0,00000271079	0,00000087591	0,00000084075	0,00000031759	0,00000095755	0,00000088168	
action comedy	0,00000000000	0,00000000000	0,00000165497	0,00000158853	0,00000000000	0,00000361843	0,00000000000	
action drama 	0,00000140602	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	
action film  	0,00000033754	0,00000000000	0,00000028496	0,00000000000	0,00000041329	0,00000103840	0,00000016391	
action flick 	0,00000119926	0,00000000000	0,00000101245	0,00000000000	0,00000000000	0,00000073788	0,00000058235	
action good  	0,00000229071	0,00000000000	0,00000193390	0,00000000000	0,00000000000	0,00000000000	0,00000000000	
action great 	0,00000000000	0,00000000000	0,00000000000	0,00000111627	0,00000000000	0,00000084756	0,00000066892	
action hero  	0,00000000000	0,00000000000	0,00000193390	0,00000000000	0,00000000000	0,00000000000	0,00000000000	
action humor 	0,00000000000	0,00000000000	0,00000000000	0,00000211804	0,00000000000	0,00000000000	0,00000000000	
action keep  	0,00001568258	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	
action movie 	0,00000040331	0,00000000000	0,00000102147	0,00000032682	0,00000024691	0,00000012407	0,00000048961	
action pack  	0,00000000000	0,00000414127	0,00000100360	0,00000144496	0,00000072777	0,00000109713	0,00000028863	
action packed	0,00000000000	0,00000000000	0,00000183103	0,00000000000	0,00000000000	0,00000000000	0,00000000000	
action romance	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000174221	0,00000000000	
action scene 	0,00000000000	0,00000234012	0,00000028355	0,00000081651	0,00000041124	0,00000123992	0,00000048929	
action sequence	0,00000061874	0,00000323320	0,00000000000	0,00000100278	0,00000000000	0,00000038070	0,00000030046	
action suspense	0,00000134127	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000065132	
action thriller	0,00000000000	0,00000000000	0,00000000000	0,00000214555	0,00000000000	0,00000000000	0,00000000000	
activity     	0,00000221602	0,00000000000	0,00000187084	0,00000538720	0,00000000000	0,00000000000	0,00000000000	
actor        	0,00000053226	0,00000016857	0,00000062638	0,00000033983	0,00000094795	0,00000016871	0,00000010965	
actor actress	0,00000139163	0,00000000000	0,00000117486	0,00000000000	0,00000000000	0,00000000000	0,00000033788	
actor award  	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000402622	0,00000000000	0,00000000000	
actor be     	0,00000033258	0,00000000000	0,00000046796	0,00000026951	0,00000108592	0,00000102316	0,00000010767	
actor do     	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000019800	
actor film   	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000260027	0,00000000000	0,00000051563	
actor generation	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000304421	0,00000000000	0,00000000000	
actor give   	0,00000000000	0,00000000000	0,00000330994	0,00000000000	0,00000000000	0,00000000000	0,00000063462	
actor have   	0,00000000000	0,00000000000	0,00000086709	0,00000041614	0,00000125756	0,00000063193	0,00000049874	
actor movie  	0,00000084245	0,00000000000	0,00000000000	0,00000068267	0,00000000000	0,00000000000	0,00000000000	
actor performance	0,00000000000	0,00000771986	0,00000000000	0,00000000000	0,00000271332	0,00000136347	0,00000000000	
actor play   	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000035236	0,00000000000	
actor portray	0,00000000000	0,00000000000	0,00000395671	0,00000000000	0,00000000000	0,00000000000	0,00000000000	
actor work   	0,00000283158	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	
actress      	0,00000030368	0,00000035265	0,00000102552	0,00000016406	0,00000037184	0,00000031142	0,00000004916	
actress be   	0,00000000000	0,00000000000	0,00000080429	0,00000000000	0,00000116647	0,00000000000	0,00000046262	
actual       	0,00000175321	0,00000000000	0,00000126868	0,00000101479	0,00000122666	0,00000046231	0,00000109460	
actual event 	0,00000000000	0,00000000000	0,00000000000	0,00000246578	0,00000372575	0,00000000000	0,00000000000	
adapt        	0,00000000000	0,00000157478	0,00000000000	0,00000256419	0,00000055349	0,00000000000	0,00000000000	
adaptation   	0,00000053370	0,00000123949	0,00000015019	0,00000187408	0,00000043565	0,00000087567	0,00000043194	
adaptation be	0,00000242707	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	
adaption     	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000089189	
add          	0,00000165499	0,00000090085	0,00000104790	0,00000075437	0,00000094987	0,00000031821	0,00000040183	
add be       	0,00000226526	0,00000000000	0,00000000000	0,00000183564	0,00000000000	0,00000000000	0,00000000000	
add collection	0,00000000000	0,00000000000	0,00000133424	0,00000000000	0,00000000000	0,00000000000	0,00000000000	
add lot      	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000145859	0,00000000000	
add more     	0,00000000000	0,00000000000	0,00000253113	0,00000000000	0,00000000000	0,00000000000	0,00000000000	
add movie    	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000217066	0,00000000000	0,00000000000	
addict       	0,00000185340	0,00000000000	0,00000000000	0,00000000000	0,00000226932	0,00000114035	0,00000000000	
addiction    	0,00000328828	0,00000000000	0,00000277608	0,00000000000	0,00000402622	0,00000000000	0,00000079839	
addition     	0,00000059381	0,00000068954	0,00000050131	0,00000064158	0,00000024235	0,00000024357	0,00000000000	
addition be  	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000242355	0,00000121785	0,00000096117	
addition collection	0,00000000000	0,00000000000	0,00000179289	0,00000172091	0,00000000000	0,00000000000	0,00000000000	
addition movie	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000152308	
additional   	0,00000054805	0,00000000000	0,00000000000	0,00000088821	0,00000067104	0,00000033720	0,00000026613	
address      	0,00000366240	0,00000000000	0,00000000000	0,00000098927	0,00000000000	0,00000000000	0,00000000000	
adequate     	0,00000000000	0,00000000000	0,00000000000	0,00000340634	0,00000257346	0,00000000000	0,00000000000	
admirable    	0,00000193245	0,00000000000	0,00000000000	0,00000000000	0,00000118306	0,00000000000	0,00000187678	
admiration   	0,00000348502	0,00000000000	0,00000588434	0,00000141203	0,00004480459	0,00000000000	0,00000338462	
admire       	0,00000086755	0,00000000000	0,00000219724	0,00000035150	0,00001221572	0,00000000000	0,00000042128	
admit        	0,00000148813	0,00000129604	0,00000062816	0,00000030147	0,00000091104	0,00000045781	0,00000000000	
admit be     	0,00000127421	0,00000000000	0,00000000000	0,00000103255	0,00000156016	0,00000000000	0,00000123750	
adolescent   	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000745151	0,00000000000	0,00000147761	
adopt        	0,00000000000	0,00000000000	0,00000000000	0,00000192102	0,00000290262	0,00000000000	0,00000000000	
adorable     	0,00000000000	0,00000000000	0,00000501312	0,00001684152	0,00000121177	0,00000060893	0,00000000000	
adore        	0,00000112018	0,00000000000	0,00000094570	0,00000090773	0,00000000000	0,00000000000	0,00000054396	
adrenaline   	0,00000297626	0,00000000000	0,00000251266	0,00000000000	0,00000000000	0,00000091561	0,00000072263	
adult        	0,00000063446	0,00000221025	0,00000089272	0,00000565544	0,00000142421	0,00000149642	0,00000015405	
adult be     	0,00000174251	0,00000000000	0,00000000000	0,00001270826	0,00000000000	0,00000321639	0,00000000000	
adult child  	0,00000000000	0,00000000000	0,00000337484	0,00000323936	0,00000000000	0,00000368938	0,00000000000	
adult enjoy  	0,00000000000	0,00000000000	0,00000000000	0,00001007362	0,00000000000	0,00000000000	0,00000000000	
adult kid    	0,00000000000	0,00001076102	0,00000000000	0,00003003770	0,00000000000	0,00000380118	0,00000000000	
advance      	0,00000104551	0,00000000000	0,00000000000	0,00000084722	0,00000256026	0,00000000000	0,00000050769	
advantage    	0,00000284475	0,00000000000	0,00000160109	0,00000000000	0,00000232210	0,00000000000	0,00000092093	
adventure    	0,00000090381	0,00000000000	0,00000152605	0,00001318311	0,00000173900	0,00000127107	0,00000025079	
