FILM         	HA	LA	CO	BA	FR	GM	BM
Pulp Fiction 	0,0520	0,0293	0,0543	0,0365	0,0544	0,0599	0,0517	
Lawrence of Arabia	0,0562	0,0177	0,0477	0,0358	0,0518	0,0336	0,0493	
Modern Times 	0,0352	0,0248	0,0524	0,0358	0,0517	0,0629	0,0297	
Goodfellas   	0,0439	0,0245	0,0488	0,0340	0,0524	0,0392	0,0515	
Apocalypse Now	0,0553	0,0226	0,0553	0,0351	0,0523	0,0352	0,1040	
Casablanca   	0,0481	0,0245	0,0976	0,0405	0,0598	0,0468	0,0471	
The Shawshank Redemption	0,0569	0,0219	0,0699	0,0388	0,0855	0,0389	0,0533	
Rashomon     	0,0698	0,0205	0,0499	0,0319	0,0598	0,0319	0,0475	
The Third Man	0,0564	0,0232	0,0532	0,0327	0,0596	0,0351	0,0459	
The Dark Knight	0,0618	0,0278	0,0568	0,0441	0,0606	0,0499	0,0808	
Chinatown    	0,0763	0,0193	0,0464	0,0334	0,0483	0,0344	0,0443	
Double Indemnity	0,0510	0,0203	0,0593	0,0296	0,0453	0,0375	0,0391	
Ikiru        	0,0616	0,0276	0,0683	0,0345	0,0691	0,0342	0,0527	
Raging Bull  	0,0441	0,0190	0,0561	0,0287	0,0511	0,0283	0,0753	
North by Northwest	0,0625	0,0272	0,0606	0,0435	0,0494	0,0565	0,0419	
Tokyo Story  	0,0563	0,0234	0,0669	0,0369	0,0597	0,0351	0,0441	
All About Eve	0,0414	0,0189	0,0525	0,0327	0,0608	0,0449	0,0341	
The Silence of the Lambs	0,0615	0,0250	0,0512	0,0309	0,0519	0,0358	0,0664	
Toy Story    	0,0317	0,0251	0,0656	0,1429	0,0526	0,0757	0,0261	
Saving Private Ryan	0,0555	0,0223	0,0621	0,0395	0,0657	0,0324	0,2209	
Back to the Future	0,0331	0,0369	0,0494	0,0828	0,0516	0,0964	0,0255	
Annie Hall   	0,0442	0,0392	0,0802	0,0407	0,0712	0,0812	0,0369	
It Happened One Night	0,0382	0,0375	0,0753	0,0453	0,0518	0,0951	0,0322	
Aliens       	0,0468	0,0256	0,0488	0,0494	0,0526	0,0473	0,0578	
Amadeus      	0,0487	0,0224	0,0652	0,0401	0,0528	0,0469	0,0426	
La Dolce Vita	0,0529	0,0189	0,0670	0,0369	0,0574	0,0387	0,0435	
The Shining  	0,0517	0,0257	0,0549	0,0427	0,0506	0,0480	0,0679	
The Best Years of Our Lives	0,0482	0,0182	0,0829	0,0368	0,0663	0,0370	0,0734	
Fargo        	0,0560	0,0401	0,0527	0,0356	0,0580	0,0759	0,0556	
Reservoir Dogs	0,0528	0,0279	0,0485	0,0315	0,0527	0,0452	0,0624	
My Neighbor Totoro	0,0426	0,0301	0,0852	0,1461	0,0663	0,0698	0,0393	
Memento      	0,1004	0,0327	0,0520	0,0335	0,0637	0,0449	0,0499	
The Pianist  	0,0566	0,0196	0,0767	0,0409	0,0686	0,0325	0,0954	
Cool Hand Luke	0,0371	0,0194	0,0493	0,0349	0,0539	0,0393	0,0407	
Jaws         	0,0451	0,0267	0,0547	0,0437	0,0506	0,0491	0,0611	
To Kill a Mockingbird	0,0494	0,0218	0,0644	0,0582	0,0685	0,0385	0,0611	
Once Upon a Time in America	0,0557	0,0272	0,0568	0,0391	0,0561	0,0316	0,0476	
Barry Lyndon 	0,0592	0,0266	0,0544	0,0377	0,0499	0,0386	0,0444	
The Grapes of Wrath	0,0422	0,0178	0,0554	0,0431	0,0558	0,0299	0,0523	
Before Sunset	0,0524	0,0239	0,1225	0,0396	0,0637	0,0478	0,0418	
The Usual Suspects	0,0845	0,0307	0,0409	0,0323	0,0493	0,0469	0,0427	
Strangers on a Train	0,0537	0,0234	0,0526	0,0296	0,0461	0,0370	0,0477	
The Departed 	0,0746	0,0273	0,0520	0,0340	0,0563	0,0458	0,0583	
Fight Club   	0,0773	0,0286	0,0606	0,0392	0,0687	0,0568	0,0918	
Full Metal Jacket	0,0487	0,0239	0,0534	0,0351	0,0582	0,0437	0,1618	
Dog Day Afternoon	0,0424	0,0180	0,0490	0,0279	0,0488	0,0406	0,0451	
This Is Spinal Tap	0,0394	0,0579	0,0424	0,0363	0,0702	0,1088	0,0363	
Die Hard     	0,0469	0,0303	0,0466	0,0420	0,0505	0,0574	0,0605	
Duck Soup    	0,0381	0,0382	0,0413	0,0353	0,0535	0,1021	0,0419	
Trainspotting	0,0493	0,0359	0,0434	0,0346	0,0648	0,0685	0,0573	
Young Frankenstein	0,0359	0,0483	0,0520	0,0460	0,0637	0,1254	0,0307	
Forrest Gump 	0,0446	0,0317	0,0857	0,0565	0,0753	0,0642	0,0462	
The Graduate 	0,0408	0,0325	0,0659	0,0343	0,0475	0,0553	0,0318	
Incendies    	0,0606	0,0165	0,0464	0,0298	0,0430	0,0259	0,0609	
The Terminator	0,0463	0,0260	0,0493	0,0498	0,0497	0,0473	0,0542	
The Matrix   	0,0759	0,0276	0,0544	0,0629	0,0687	0,0497	0,0561	
Talk to Her  	0,0707	0,0271	0,1031	0,0352	0,0766	0,0403	0,0456	
Good Will Hunting	0,0527	0,0204	0,0720	0,0357	0,0850	0,0424	0,0419	
Frankenstein 	0,0436	0,0238	0,0473	0,0443	0,0535	0,0460	0,0481	
Infernal Affairs	0,0633	0,0245	0,0392	0,0248	0,0436	0,0286	0,0457	
Toy Story 2  	0,0354	0,0271	0,0649	0,1121	0,0564	0,0833	0,0291	
Jurassic Park	0,0410	0,0245	0,0519	0,0632	0,0493	0,0642	0,0446	
American History X	0,0596	0,0257	0,0711	0,0421	0,0752	0,0310	0,0861	
The Iron Giant	0,0487	0,0260	0,0804	0,1851	0,0756	0,0711	0,0417	
Stand by Me  	0,0378	0,0237	0,0744	0,0726	0,0863	0,0568	0,0426	
Rope         	0,0648	0,0282	0,0453	0,0304	0,0522	0,0393	0,0472	
Brief Encounter	0,0409	0,0208	0,1213	0,0340	0,0572	0,0344	0,0423	
In the Heat of the Night	0,0588	0,0206	0,0503	0,0288	0,0552	0,0365	0,0422	
Midnight Cowboy	0,0446	0,0199	0,0651	0,0368	0,0644	0,0361	0,0496	
Sling Blade  	0,0510	0,0306	0,0715	0,0368	0,0699	0,0373	0,0447	
The Exorcist 	0,0528	0,0286	0,0536	0,0372	0,0570	0,0379	0,0815	
Shaun of the Dead	0,0409	0,0672	0,0597	0,0414	0,0838	0,1544	0,0536	
