1	32	2628,1994,739
1	192	321,784,607
1	274	121,489,373
1	261	2429,957,2106
1	88	171,143,1977
1	56	4939,5053,4642
1	41	1016,1668,1367
1	122	3866,2324,3157
1	44	3685,4984,1044
1	287	1192,690,1143
2	288	437,1642,555
2	49	198,72,286
2	84	5601,1922,379
2	228	2376,3030,1180
2	86	198,215,315
2	118	3435,1904,2696
2	72	918,298,1177
2	219	1759,661,388
2	284	820,1666,1361
2	221	1716,1411,97
3	160	520,542,415
3	177	425,513,348
3	210	262,1110,1069
3	67	517,473,253
3	84	5280,61,4349
3	117	2337,814,5217
3	119	25,30,468
3	40	1419,1026,648
3	280	972,581,1309
3	57	161,119,435
4	64	1210,2108,48
4	19	1270,1236,645
4	118	80,1979,3280
4	166	2289,531,880
4	262	458,1355,798
4	214	864,991,103
4	231	1000,1871,1615
4	91	3507,4059,3482
4	31	427,165,164
4	111	169,428,1377
1,3	80	991,963,597
1,3	208	147,859,77
1,3	273	232,336,1222
1,3	162	1004,959,1530
1,3	84	3103,61,4349
1,3	117	2337,5217,825
1,3	149	356,73,300
1,3	265	230,695,1704
1,3	74	142,433,295
1,3	207	330,67,351
5	160	520,412,668
5	81	871,1260,1169
5	65	1108,297,474
5	146	723,204,607
5	275	2141,2560,158
5	84	3366,4349,3414
5	117	2337,3002,438
5	7	819,1286,3152
5	57	650,615,370
5	174	370,24,368
1,4	64	1210,1561,2070
1,4	118	1469,80,1979
1,4	166	2289,1706,531
1,4	198	169,268,830
1,4	103	2560,768,421
1,4	90	981,413,286
1,4	284	783,1759,2618
1,4	61	162,869,1023
1,4	253	298,570,249
1,4	31	427,165,149
2,3	148	754,1767,886
2,3	180	1147,1174,825
2,3	166	1577,2209,249
2,3	120	63,515,1298
2,3	217	4029,5292,5298
2,3	89	248,179,498
2,3	157	24,523,1055
2,3	206	652,548,901
2,3	31	1503,1955,582
2,3	111	1060,776,1451
6	288	1642,1603,271
6	49	349,72,286
6	242	127,309,158
6	51	550,1460,922
6	115	288,1467,1070
6	118	3430,705,2696
6	72	1943,1847,876
6	280	447,1309,1291
6	153	1082,242,791
6	93	837,655,128
1,5	85	622,1114,107
1,5	165	2233,405,2120
1,5	279	763,532,416
1,5	152	1907,780,1286
1,5	104	2208,906,2038
1,5	8	288,652,581
1,5	58	386,218,822
1,5	13	295,341,446
1,5	159	2096,1185,3749
1,5	63	1337,1721,454
2,4	241	307,229,141
2,4	226	394,270,197
2,4	115	72,1100,334
2,4	164	221,259,587
2,4	100	2273,2143,1895
2,4	118	3435,1904,2696
2,4	231	2612,568,797
2,4	281	336,206,90
2,4	266	497,4222,3346
2,4	91	43,3877,3071
7	33	1347,268,583
7	114	2329,2269,619
7	20	136,3306,2430
7	149	678,1536,1328
7	229	523,2451,1816
7	278	1435,896,1324
7	266	340,857,847
7	75	254,1078,383
7	267	1660,419,143
7	45	179,1767,155
1,6	129	1046,949,666
1,6	225	559,566,224
1,6	148	157,249,310
1,6	196	2884,1166,3269
1,6	84	3574,3619,2939
1,6	22	894,331,319
1,6	23	671,669,811
1,6	72	969,1102,2089
1,6	271	393,6,1403
1,6	47	296,905,531
2,5	64	2195,1398,999
2,5	52	1167,946,2486
2,5	148	754,1767,1044
2,5	134	2072,3357,6579
2,5	72	918,298,1177
2,5	280	659,1135,865
2,5	56	3054,1996,1189
2,5	93	837,128,1709
2,5	47	569,89,296
2,5	79	492,2703,448
1,7	272	951,634,227
1,7	275	158,2056,1355
1,7	20	3144,3415,3317
1,7	85	622,107,1114
1,7	135	1567,500,691
1,7	10	811,2701,3872
1,7	75	477,521,351
1,7	270	1809,1656,749
1,7	223	1696,2082,189
1,7	63	1337,57,1721
2,6	288	437,1642,1603
2,6	129	1007,925,1166
2,6	49	72,349,286
2,6	51	550,1156,1394
2,6	244	554,602,126
2,6	132	284,487,380
2,6	86	198,215,315
2,6	249	72,104,141
2,6	93	837,128,1709
2,6	142	602,578,391
3,6	115	502,2158,2112
3,6	22	864,331,252
3,6	118	931,2205,3035
3,6	150	429,559,455
3,6	23	763,813,708
3,6	232	190,482,167
3,6	280	1309,972,581
3,6	89	401,459,514
3,6	250	288,228,128
3,6	190	802,756,861
2,7	259	375,587,677
2,7	83	2944,6496,6540
2,7	20	2227,2170,4063
2,7	149	100,1325,2055
2,7	246	352,656,509
2,7	278	608,807,135
2,7	199	2263,2432,3078
2,7	44	1708,2841,2165
2,7	189	534,1329,193
2,7	207	398,172,44
