FILM	HA	LA	CO	BA	FR	GM	BM
1     	2322	3209	3428	1384	1190	1717	1473	
2     	1363	1319	501	285	661	1101	5	
3     	366	144	418	3	209	371	209	
4     	1980	1065	2948	2436	1679	1961	1689	
5     	2459	1835	219	1885	2063	1363	807	
6     	3105	46	2633	1767	2561	2045	1497	
7     	3119	3678	1665	1340	819	135	2366	
8     	288	647	548	537	54	465	572	
9     	647	309	380	37	623	529	1386	
10    	811	454	4826	6305	5938	3732	861	
11    	1616	202	1106	1447	369	220	1137	
12    	152	448	665	643	290	156	644	
13    	341	88	221	595	446	254	19	
14    	1202	515	519	903	962	1013	666	
15    	779	1825	1604	744	1547	433	2870	
16    	51	113	32	120	209	32	74	
17    	836	632	1085	1249	1263	1108	636	
18    	576	1376	574	1980	94	1108	1122	
19    	799	1286	1307	1270	89	715	285	
20    	3144	2227	647	566	647	3289	136	
21    	340	603	91	363	373	91	705	
22    	894	300	331	404	581	300	646	
23    	671	811	763	128	178	710	632	
24    	1745	1572	993	219	2345	695	1281	
25    	1990	1657	1472	1325	1761	1677	15	
26    	528	193	105	231	323	543	592	
27    	921	1868	2693	433	2440	761	392	
28    	264	702	566	1014	919	1087	992	
29    	1555	904	1382	1196	396	904	1318	
30    	1344	1572	1886	359	1340	969	782	
31    	860	1503	36	427	36	1079	2176	
32    	2628	507	3164	2215	1737	1181	3099	
33    	814	874	1516	1250	1003	1421	1347	
34    	814	806	424	356	963	61	1008	
35    	2494	2327	2129	147	2132	2389	705	
36    	298	463	692	1450	128	1857	2465	
37    	1017	1122	1053	1301	153	741	877	
38    	324	725	729	1221	158	673	206	
39    	374	215	229	348	653	230	507	
40    	663	749	1419	108	707	586	387	
41    	1016	207	1686	722	134	804	1702	
42    	86	67	469	646	332	503	616	
43    	105	3101	2182	1745	1284	2424	651	
44    	3685	1708	138	1339	4111	1708	3784	
45    	624	1282	1294	1277	152	1423	179	
46    	551	211	573	539	573	249	116	
47    	296	569	1110	856	1110	569	806	
48    	133	299	681	775	261	598	205	
49    	144	198	334	78	234	349	179	
50    	23	485	793	203	336	604	378	
51    	1471	1156	799	306	1680	550	436	
