L            	HA	LA	CO	BA	FR	GM	BM
.2           	0,00000000000	0,00000000000	0,00000977613	0,00000919489	0,00000000000	0,00000000000	0,00000266496	
.3           	0,00000000000	0,00000000000	0,00000950706	0,00000894182	0,00000905658	0,00000767083	0,00000259161	
18th         	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000403551	
1930         	0,00000000000	0,00000000000	0,00001546671	0,00002909429	0,00000000000	0,00001247941	0,00000421621	
1950         	0,00000000000	0,00000000000	0,00000000000	0,00003144061	0,00000000000	0,00000000000	0,00000000000	
1970         	0,00001678078	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000362161	
19th         	0,00003272251	0,00013157895	0,00001295337	0,00000000000	0,00001233959	0,00001045151	0,00000000000	
20th         	0,00000443695	0,00000000000	0,00000351278	0,00000000000	0,00000000000	0,00000000000	0,00000095758	
21st         	0,00000000000	0,00000000000	0,00000000000	0,00001335149	0,00000000000	0,00000572685	0,00000386967	
25th         	0,00001109238	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	
2nd          	0,00001148158	0,00000000000	0,00000000000	0,00000000000	0,00000865936	0,00000000000	0,00000000000	
3rd          	0,00001678078	0,00000000000	0,00000000000	0,00000000000	0,00001265599	0,00000000000	0,00000000000	
60           	0,00000000000	0,00000000000	0,00000893336	0,00001680446	0,00000000000	0,00000000000	0,00000000000	
:-rrb-       	0,00001128363	0,00000000000	0,00000893336	0,00000840223	0,00000000000	0,00000720793	0,00000000000	
=            	0,00001817917	0,00014619883	0,00000000000	0,00004061079	0,00000000000	0,00001161278	0,00000000000	
_            	0,00000000000	0,00000000000	0,00001345804	0,00000000000	0,00000000000	0,00000000000	0,00000000000	
a            	0,00000000000	0,00005980861	0,00000588789	0,00001661350	0,00000000000	0,00000000000	0,00000000000	
a.           	0,00001095314	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	
abandon      	0,00001678078	0,00000000000	0,00001328551	0,00001249563	0,00000000000	0,00000000000	0,00000362161	
ability      	0,00001912355	0,00000854409	0,00001177579	0,00000474672	0,00001041653	0,00000542935	0,00000137574	
able         	0,00000819429	0,00000878657	0,00000821750	0,00000488143	0,00000782812	0,00000383862	0,00000141479	
abound       	0,00000000000	0,00000000000	0,00001233654	0,00000000000	0,00000000000	0,00000995381	0,00000336293	
above        	0,00000000000	0,00000000000	0,00000442850	0,00000416521	0,00000421866	0,00000357316	0,00000120720	
absence      	0,00000000000	0,00000000000	0,00004857513	0,00000000000	0,00001542448	0,00001306438	0,00000000000	
absolute     	0,00000244654	0,00000000000	0,00000000000	0,00000182179	0,00000184517	0,00000156284	0,00000052801	
absorb       	0,00008127160	0,00003439972	0,00000677300	0,00001274064	0,00001290414	0,00000273242	0,00000461578	
abuse        	0,00000000000	0,00000000000	0,00001102414	0,00002073742	0,00001050177	0,00000000000	0,00000601034	
academy      	0,00000194487	0,00000000000	0,00000000000	0,00000289646	0,00000146682	0,00000124238	0,00000041974	
