FILM         	HA	LA	CO	BA	FR	GM	BM
Pulp Fiction 	0,1061	0,0743	0,0820	0,0856	0,0859	0,1312	0,0873	
Lawrence of Arabia	0,1139	0,0595	0,0821	0,0921	0,0833	0,0787	0,0821	
Modern Times 	0,0714	0,0709	0,0857	0,0873	0,0822	0,1599	0,0510	
Goodfellas   	0,0894	0,0631	0,0785	0,0820	0,0849	0,0950	0,0897	
Apocalypse Now	0,1156	0,0644	0,0886	0,0860	0,0863	0,0842	0,1197	
Casablanca   	0,0984	0,0682	0,1273	0,0962	0,0983	0,1155	0,0802	
The Shawshank Redemption	0,1179	0,0651	0,1166	0,0974	0,1467	0,0999	0,1027	
Rashomon     	0,1396	0,0574	0,0876	0,0825	0,0973	0,0774	0,0835	
The Third Man	0,1205	0,0576	0,0898	0,0824	0,0885	0,0915	0,0779	
The Dark Knight	0,1251	0,0849	0,0897	0,1062	0,0953	0,1239	0,1218	
Chinatown    	0,1448	0,0627	0,0806	0,0860	0,0762	0,0849	0,0765	
Double Indemnity	0,0972	0,0559	0,1047	0,0750	0,0731	0,0922	0,0672	
Ikiru        	0,1302	0,0660	0,1245	0,0882	0,1215	0,0951	0,0977	
Raging Bull  	0,0955	0,0541	0,0985	0,0717	0,0868	0,0737	0,1222	
North by Northwest	0,1126	0,0766	0,0976	0,0987	0,0809	0,1283	0,0707	
Tokyo Story  	0,1119	0,0698	0,1231	0,0900	0,0969	0,0972	0,0768	
All About Eve	0,0882	0,0581	0,0884	0,0776	0,0872	0,1165	0,0576	
The Silence of the Lambs	0,1212	0,0672	0,0848	0,0756	0,0872	0,0841	0,1021	
Toy Story    	0,0654	0,0633	0,0739	0,2173	0,0871	0,1348	0,0423	
Saving Private Ryan	0,1147	0,0665	0,1029	0,0920	0,1054	0,0806	0,2450	
Back to the Future	0,0655	0,0760	0,0649	0,1086	0,0725	0,1451	0,0435	
Annie Hall   	0,0897	0,0699	0,1312	0,0892	0,1119	0,1987	0,0610	
It Happened One Night	0,0774	0,0783	0,1195	0,0913	0,0774	0,2115	0,0501	
Aliens       	0,0938	0,0705	0,0729	0,0979	0,0863	0,0889	0,0975	
Amadeus      	0,1049	0,0626	0,1005	0,0896	0,0866	0,1155	0,0744	
La Dolce Vita	0,1096	0,0573	0,1193	0,0877	0,0944	0,1073	0,0749	
